BOM,Unit_Process,Size,Units,Mass (kg),Sub-System,Min,Max
Counting_Bracket,Steel_and_Casting,0.181,kg,0.181,UF,0.9,1.1
Level_Switch,PVE_and_Extrusion,0.0223,kg,0.0223,UF,0.85,1.15
Ball_Valve,Steel_and_Casting,0.798,kg,0.798,UF,0.9,1.1
R_Ball_Valve,Steel_and_Casting,2.394,kg,2.394,UF,0.9,1.1
T_Ball_Valve,Steel_and_Casting,3.192,kg,3.192,UF,0.9,1.1
UF_Tank,PVE_and_Extrusion,4.54,kg,4.54,UF,0.85,1.15
Bulkhead_Fitting,PVC_and_Extrusion,0.408,kg,0.408,UF,0.85,1.15
Union_Connnector,PVC_and_Extrusion,0.463,kg,0.463,UF,0.85,1.15
Bulkhead_Fitting_1,PVC_and_Extrusion,0.363,kg,0.363,UF,0.85,1.15
Bulkhead_Fitting_1,PVC_and_Extrusion,0.363,kg,0.363,UF,0.85,1.15
Flow_Valve,PVC_and_Extrusion,0.041,kg,0.041,UF,0.85,1.15
Bulkhead_Fitting,PVC_and_Extrusion,0.204,kg,0.204,UF,0.85,1.15
Bulkhead_Fitting_2,PVC_and_Extrusion,0.163,kg,0.163,UF,0.85,1.15
Union_Connector_1,PVC_and_Extrusion,0.454,kg,0.454,UF,0.85,1.15
UF_DC_Connector,Nylon_6_and_Extrusion,0.032,kg,0.032,UF,0.85,1.15
Valve,PVC_and_Extrusion,0.25,kg,0.25,UF,0.85,1.15
UF_Level_Switch,Glass_Nylon_LED,1.22,kg,1.22,UF,0.85,1.15
R_UF_Level_Switch,Glass_Nylon_LED,1.22,kg,1.22,UF,0.85,1.15
T_UF_Level_Switch,Glass_Nylon_LED,2.44,kg,2.44,UF,0.85,1.15
Membrane,LCI_Membrane,1,p,8.72,UF,0.85,1.15
R_Membrane,LCI_Membrane,6,p,52.32,UF,0.85,1.15
T_Membrane,LCI_Membrane,7,p,61.04,UF,0.85,1.15
UF_Pump,LCI_Pump,14,p,17.2,UF,0.75,1.25
R_UF_Pump,LCI_Pump,14,p,17.2,UF,0.75,1.25
T_UF_Pump,LCI_Pump,28,p,34.4,UF,0.75,1.25
Flowmeter,PS,0.2,kg,0.2,UF,0.85,1.15
UF_Pressure_Gauge,Steel_and_Casting,0.22,kg,0.22,UF,0.85,1.15
Elbow_Fitting,PP_and_Extrusion,0.041,kg,0.041,UF,0.85,1.15
cordGrip_nylon_UF,Nylon_6_and_Extrusion,0.14514944,kg,0.14514944,UF,0.85,1.15
loopClamp_SS_UF,Steel_and_Casting,0.033339012,kg,0.033339012,UF,0.9,1.1
pinchClamps_SS_UF,Steel_and_Casting,0.016692186,kg,0.016692186,UF,0.9,1.1
pipe_PVC_UF,PVC_and_Extrusion,0.36514156,kg,0.36514156,UF,0.9,1.1
pipeFitting2_PVC_UF,PVC_and_Extrusion,0.17236496,kg,0.17236496,UF,0.85,1.15
pipeFitting3_PVC_UF,PVC_and_Extrusion,0.32658624,kg,0.32658624,UF,0.85,1.15
pipeFitting4_PVC_UF,PVC_and_Extrusion,0.08164656,kg,0.08164656,UF,0.85,1.15
pipeFitting5_PVC_UF,PVC_and_Extrusion,0.08164656,kg,0.08164656,UF,0.85,1.15
pipeFitting6_PVC_UF,PVC_and_Extrusion,0.08164656,kg,0.08164656,UF,0.85,1.15
pipeFitting7_PVC_UF,PVC_and_Extrusion,0.08391452,kg,0.08391452,UF,0.85,1.15
pipeFitting8_PVC_UF,PVC_and_Extrusion,0.008073938,kg,0.008073938,UF,0.85,1.15
pipeFitting9_PVC_UF,PVC_and_Extrusion,0.19958048,kg,0.19958048,UF,0.85,1.15
pipeFitting10_PVC_UF,PVC_and_Extrusion,0.05896696,kg,0.05896696,UF,0.85,1.15
pipeFitting11_PVC_UF,PVC_and_Extrusion,0.05443104,kg,0.05443104,UF,0.85,1.15
pipeFitting12_PVC_UF,PVC_and_Extrusion,0.08164656,kg,0.08164656,UF,0.85,1.15
pipeFitting13_PVC_UF,PVC_and_Extrusion,0.04082328,kg,0.04082328,UF,0.85,1.15
pipeFitting14_PVC_UF,PVC_and_Extrusion,0.04082328,kg,0.04082328,UF,0.85,1.15
pipeFitting15_PVC_UF,PVC_and_Extrusion,0.04082328,kg,0.04082328,UF,0.85,1.15
pipeFitting16_PVC_UF,PVC_and_Extrusion,0.00907184,kg,0.00907184,UF,0.85,1.15
pipeFitting17_PVC_UF,PVC_and_Extrusion,0.06350288,kg,0.06350288,UF,0.85,1.15
pipeFitting18_PVC_UF,PVC_and_Extrusion,0.10886208,kg,0.10886208,UF,0.85,1.15
pipeFitting19_PVC_UF,PVC_and_Extrusion,0.09979024,kg,0.09979024,UF,0.85,1.15
pipeFitting20_PVC_UF,PVC_and_Extrusion,0.06350288,kg,0.06350288,UF,0.85,1.15
pipeFitting21_PVC_UF,PVC_and_Extrusion,0.015558206,kg,0.015558206,UF,0.85,1.15
pipeFitting22_PVC_UF,PVC_and_Extrusion,0.02721552,kg,0.02721552,UF,0.85,1.15
pipeFitting23_PVC_UF,PVC_and_Extrusion,0.03175144,kg,0.03175144,UF,0.85,1.15
pipeFitting24_PVC_UF,PVC_and_Extrusion,0.03175144,kg,0.03175144,UF,0.85,1.15
pipeFitting25_PVC_UF,PVC_and_Extrusion,0.032613265,kg,0.032613265,UF,0.85,1.15
pipeFitting26_PVC_UF,PVC_and_Extrusion,0.13154168,kg,0.13154168,UF,0.85,1.15
pipeFitting27_PVC_UF,PVC_and_Extrusion,0.25854744,kg,0.25854744,UF,0.85,1.15
routingClamp_PP_UF,PP_and_Extrusion,0.52616672,kg,0.52616672,UF,0.85,1.15
screw1_SS_UF,Steel_and_Casting,0.01814368,kg,0.01814368,UF,0.9,1.1
screw2_SS_UF,Steel_and_Casting,0.039008912,kg,0.039008912,UF,0.9,1.1
screw3_SS_UF,Steel_and_Casting,0.014514944,kg,0.014514944,UF,0.9,1.1
screw4_SS_UF,Steel_and_Casting,0.048443626,kg,0.048443626,UF,0.9,1.1
screw5_SS_UF,Steel_and_Casting,0.023405347,kg,0.023405347,UF,0.9,1.1
screw6_SS_UF,Steel_and_Casting,0.057334029,kg,0.057334029,UF,0.9,1.1
screw7_SS_UF,Steel_and_Casting,0.022226008,kg,0.022226008,UF,0.9,1.1
screw8_SS_UF,Steel_and_Casting,0.02021206,kg,0.02021206,UF,0.9,1.1
screw9_SS_UF,Steel_and_Casting,0.008436811,kg,0.008436811,UF,0.9,1.1
screw10_SS_UF,Steel_and_Casting,0.003810173,kg,0.003810173,UF,0.9,1.1
screw11_SS_UF,Steel_and_Casting,0.00285763,kg,0.00285763,UF,0.9,1.1
screw12_SS_UF,Steel_and_Casting,0.002449397,kg,0.002449397,UF,0.9,1.1
tubeFitting_plastic_UF,PP_and_Extrusion,0.017236496,kg,0.017236496,UF,0.85,1.15
connectorSetDC_UF,Electronic_Passive,0.02721552,kg,0.02721552,UF,0.75,1.25
inletDropPipe_UF,PVC_and_Extrusion,0.1,kg,0.1,UF,0.5,1.5
levelSwitchMountingBracket_UF,Aluminum_and_Casting,0.25,kg,0.25,UF,0.5,1.5
levelSwitchNutPlate_UF,Aluminum_and_Casting,0.25,kg,0.25,UF,0.5,1.5
pipeFitting1_PVC_UF,PVC_and_Extrusion,0.187,kg,0.187,UF,0.5,1.5
returnLineDiffuser_PVC_Pipe_UF,PVC_and_Extrusion,0.363,kg,0.363,UF,0.5,1.5
Diffuser_Top,PVC_and_Extrusion,1.16,kg,1.16,GAC,0.85,1.15
GAC_Bracket,Steel_and_Casting,1.12,kg,1.12,GAC,0.9,1.1
Socket,PVC_and_Extrusion,1.61,kg,1.61,GAC,0.85,1.15
GAC_Filter,PVC_and_Extrusion,1.34,kg,1.34,GAC,0.9,1.1
pipe1_PVC_GAC,PVC_and_Extrusion,0.444,kg,0.444,GAC,0.9,1.1
screw1_SS_GAC,Steel_and_Casting,0.04027897,kg,0.04027897,GAC,0.9,1.1
