Myanmar,Venezuela,Egypt,Azerbaijan,Kazakhstan,Ukraine,Saudi Arabia,Ghana,Trinidad and Tobago,Ethiopia,Paraguay,Georgia,Malaysia,Bangladesh,Pakistan,Vietnam,Macedonia,Serbia,Armenia,United Arab Emirates,Sri Lanka,Mexico,Cameroon,Argentina,Belarus,Jordan,Botswana,Turkey,Angola,Bosnia and Herzegovina,Albania,Indonesia,Dominican Republic,Tanzania,Korea,Canada,Ivory Coast,South Africa,Hungary,Bulgaria,Thailand,Namibia,Hong Kong,Norway,Macau,Costa Rica,Kenya,Colombia,Malta,Lithuania,Croatia,Iceland,Honduras,Congo,Romania,Poland,Estonia,Israel,Panama,Chile,Latvia,Slovakia,Brazil,Slovenia,Finland,Greece,Philippines,France,Switzerland,Sweden,Luxembourg,New Zealand,Peru,Uganda,Austria,Czech Republic,United Kingdom,Guatemala,Netherlands,Spain,El Salvador,Ireland,Italy,Japan,Portugal,Belgium,Denmark,Germany,Bermuda
123.6569166,629.4727797,248.6488219,495.7455877,525.8750611,191.7669324,1238.438378,309.9501614,778.2944249,71.72399839,332.0677533,530.7701898,493.5261744,140.5550513,133.3379983,211.6933479,475.232494,329.8471953,236.7589701,1729.030156,165.0240795,445.6852833,257.8490541,598.8604168,398.8028557,675.0550317,552.0832148,923.1888378,435.4125503,471.4350891,335.3770267,151.612801,496.7584497,181.4026884,2826.948884,3789.767559,230.5291651,245.5523825,784.3678052,408.4653169,291.1737732,275.8089495,2046.366463,4816.480451,1434.716874,671.9218872,82.55736614,300.2603816,2052.328668,764.1984473,1154.401478,6287.30254,275.3891617,28.08848172,550.8065862,832.0537567,1240.591308,2309.398487,752.1429275,757.2918108,1094.721618,1045.482361,518.7861259,1430.395598,3217.750722,817.7027681,223.6055331,3114.960075,7045.14386,4972.948272,3320.071734,3546.522602,459.9650264,112.8051764,2765.510383,1090.672953,3692.83429,291.7623376,3374.28105,1983.400713,260.0084896,3565.318922,2256.121127,2856.972737,861.4418391,3367.861118,5269.554794,3649.775661,4789.593384
129.612149,736.050251,240.1243984,483.3433955,517.7812109,190.4233841,1100.201656,322.7979595,761.2505775,74.57143238,354.4325745,556.5131424,518.188934,147.3925956,135.1199788,209.6076088,482.9910453,334.5866226,228.4081335,1715.378445,168.8227566,437.3575872,241.3221974,634.8684652,412.0094991,765.3676577,530.7785743,857.5931452,383.4742823,499.5488167,353.4910571,148.8221084,483.1296719,196.4253723,2779.232532,3770.435676,221.9993292,247.954214,749.838279,453.9315944,277.2958139,301.0421024,2099.132106,5005.815299,1512.243861,643.9396719,78.91814349,314.0792223,1812.207037,777.0388432,1171.777567,5978.468112,299.7021845,26.78796912,483.1584401,828.7155689,1196.549309,2280.47212,676.605833,718.7695105,1054.793427,1026.13104,493.3351645,1319.812997,3413.027869,831.1275205,223.9703573,3163.704977,6567.14788,5145.502546,3041.370883,3501.998414,448.1011592,123.2559781,2639.834317,1125.040042,3617.064548,285.2725033,2973.855846,2014.671603,276.8125092,3246.455361,2253.96821,3120.576962,824.592982,3077.170658,5792.475376,3415.309294,5303.590325
136.7372611,671.2052237,240.9477009,495.9771684,570.1649924,188.4362755,1159.61096,324.3133861,805.3276413,77.94971712,358.57839,559.9230052,511.2227885,155.5101645,118.804677,210.5599408,515.2120342,311.6103605,248.921579,1730.196717,159.5371835,432.8729338,251.5934215,546.4023122,364.075829,714.2625733,505.6924324,875.5440002,393.2444906,462.6701402,320.7212766,135.7580185,512.8933319,200.8463586,2774.843725,3896.569639,221.3023673,229.4621461,780.8668591,472.6689172,272.9286893,317.1121424,2155.887013,4990.53339,1427.285509,690.1907006,82.55363922,310.6834386,1799.575466,826.5105412,1146.30429,6110.889331,295.7430396,25.523491,497.9443175,874.2613774,1156.612254,2450.931909,750.2454663,798.062127,1026.181004,1014.833013,502.3889289,1432.360588,3473.178064,903.3486028,214.3985121,2776.502334,6419.455867,5290.09448,3063.400119,3200.517429,427.7161354,117.7647544,2978.00458,1043.604114,3565.99945,306.8977848,3281.596541,2088.941277,252.9833536,3567.826409,2452.274765,3078.511729,797.817295,3310.674299,5907.894206,3690.896536,5452.292499
130.4171563,682.2861529,252.7513665,534.2492124,506.1102999,194.198051,1150.907383,316.5831816,768.0254257,74.01479091,347.1380985,547.2852484,461.8213947,151.6395819,128.154296,216.2388087,521.5159686,312.341706,219.9024327,1715.606782,164.7663402,435.5202269,257.3579346,540.4894765,410.2709489,753.541419,542.5022459,837.2994985,403.2409441,457.8069232,333.8759461,155.0833057,451.2684553,193.9034861,2807.929821,3734.057194,229.3374741,228.414453,851.1427726,459.4535528,275.6657555,302.7463005,2099.803173,4801.439138,1554.118116,616.5928073,82.50897524,315.6478597,1877.938797,814.513997,1131.795091,5560.520785,266.8313785,27.44274206,515.5153985,880.7935258,1311.288662,2361.300285,748.698261,745.9186905,1147.866567,1089.74226,464.2134377,1525.106839,3366.377624,850.9438247,216.2240229,3028.045324,6100.853813,5488.990484,3308.432256,3633.3276,433.7618662,121.5411505,2812.242334,1064.816631,3667.479487,315.9011933,3271.59481,1940.825775,262.3808017,3640.973444,2331.239009,2921.791185,774.8610244,2984.619093,5727.085218,3699.449406,4796.040533
127.5951182,668.2158362,220.912919,496.2034103,511.8289193,174.7823844,1135.104879,308.2168849,803.5794467,69.73972165,315.432396,575.7403171,522.098224,143.7342855,130.6669689,229.2384168,475.8380033,320.0245379,237.4913296,1638.485021,163.9540135,419.2820013,248.270291,534.4220098,382.7388753,766.5567274,543.002157,886.904337,392.7254149,477.8859775,346.0679575,149.0073113,441.1971805,205.674429,2954.447502,3769.202007,216.3362733,242.9226345,789.7066445,445.6709367,284.4585109,304.5025434,2214.157443,4667.910301,1482.004526,649.2571553,80.15129868,295.660183,1989.56969,805.1777675,1196.889251,5800.796518,293.0264049,25.54707183,521.740221,803.9385913,1185.734372,2192.895249,750.6694678,757.9304813,1157.588697,1021.641131,509.3042603,1507.022868,3344.653573,904.5596194,225.6357904,3103.125886,6643.992445,4780.843891,3117.79291,3470.418479,414.3130248,125.1590292,2832.142481,1001.479534,3495.317231,287.4126404,3147.900847,1969.953569,280.7076344,3780.915193,2425.969851,3177.000845,932.8832376,3359.389583,5580.744161,3598.782319,5325.328367
130.3446308,742.0060046,244.2298734,508.668691,502.9060081,176.6860511,1170.317192,296.5025228,790.7020023,78.48084935,337.80666,532.3449321,476.6383088,140.3697457,130.5599602,215.4961881,471.5298413,312.6330388,243.1515916,1765.509895,161.4222951,388.3115743,244.4534936,629.5053034,377.5319441,760.8360988,492.3603764,859.6098077,375.9623763,470.0856592,363.181984,140.0126728,507.13825,183.3766163,2968.947404,3581.81199,222.5940529,227.8891826,784.6565552,424.8177401,287.3920004,287.1015907,2317.277871,5205.644091,1459.323245,653.1616858,85.6736836,291.5531029,1808.899214,749.8229863,1049.728991,5655.452247,282.5382772,26.83479067,513.2868325,837.739955,1340.355077,2264.530979,748.9066577,702.8354164,1220.783703,1111.465858,478.8541025,1437.213346,3354.024649,866.6419279,221.6754023,3012.867544,6138.366056,5361.941932,3130.705399,3710.70951,456.3137967,118.6078342,2942.676048,1131.689596,3644.320135,295.1593477,3474.197631,2071.637586,263.4636998,3404.10593,2362.556776,2934.860922,823.5763623,3359.166356,5713.64467,3869.647635,4960.618872
125.9097694,684.4508285,247.0659331,506.9032255,536.4994184,190.4794733,1194.604994,323.3485271,794.8868471,69.39515693,335.7106545,535.3863669,458.1705154,145.9034703,128.84785,232.3271646,466.7528977,309.6078735,236.2345329,1650.491518,165.039453,430.8290058,259.5801268,616.1205384,405.6240428,796.54825,539.447197,866.5171739,386.2389645,454.2925986,316.9521639,153.7896917,483.6474255,192.2064467,2854.97162,3999.881885,230.7960965,238.9107506,833.0513361,431.6980717,268.9802961,297.2189994,2306.622026,4734.387038,1396.556055,643.9970829,79.20036881,296.549757,1924.437059,773.6301104,1074.231265,5943.851422,306.7341471,26.84776451,521.5421061,816.2688533,1158.366418,2376.47386,750.3439344,777.103223,1181.395076,968.7402895,494.0346419,1413.464569,3069.187364,811.6572474,216.3141391,2965.379233,6903.592462,5002.40791,3094.100336,3206.225029,425.0912334,119.4984895,2783.268316,1068.528385,3436.954604,299.2587234,3198.046239,2044.864566,280.7877145,3429.136563,2379.740033,3123.003336,860.2305305,3450.035807,5625.165842,3763.766963,4958.31875
135.7462051,693.8857663,252.8318337,487.8390186,553.6686271,195.3550992,1232.146653,342.9683473,741.0216405,76.23646693,336.439861,537.2516512,492.6048628,145.7488859,130.2053619,209.5866006,481.7776642,313.0781309,241.1078437,1811.925436,173.1878986,430.4457949,264.7631876,581.2260288,376.0887423,739.0409211,550.5822529,792.5765747,403.879828,478.000657,338.4249023,138.48769,499.6818828,198.8747082,2652.876008,3588.323719,222.7962855,242.9959025,769.6253294,435.7681527,266.5728492,299.1499696,2220.643909,4758.935706,1541.673342,649.826849,82.03627386,285.6653709,1929.610952,756.1278738,1228.082768,5928.677186,273.25239,26.33135033,537.368944,802.544523,1169.214034,2286.417398,783.8208633,790.8676654,1070.069278,1073.41251,539.2288934,1395.212767,3341.090118,840.8637641,222.2102622,2845.394098,6298.753848,5400.617464,3075.619384,3430.63342,444.1022964,121.1336584,2934.837902,1101.687016,3774.452796,292.1500936,3353.036484,1934.740233,280.895896,3631.17426,2313.879486,2989.315494,814.173675,3109.658112,6144.689739,3827.066261,5455.590688
126.76096,693.3536454,233.1788568,529.1440002,526.7100921,188.2048623,1176.582891,313.8304014,769.7476606,80.21879503,357.1140995,543.6542907,497.1539093,147.4323587,125.4533569,233.7531796,457.0457133,285.5824319,239.2820438,1724.174848,170.4637358,410.6814007,258.4464598,631.2735365,358.0494738,708.870495,560.3437567,898.6226614,418.0297935,479.9641605,308.5362724,138.5758497,445.2364606,187.2352997,2788.008687,3816.099286,209.6345079,239.1426357,794.0208557,437.049183,279.9811247,285.1258409,2106.29549,4788.249157,1540.068824,659.8757252,77.44409865,305.4114489,1902.367098,806.9351851,1057.58367,6345.351001,284.2934089,27.58347121,531.5246803,843.4942372,1237.664961,2357.722491,704.640956,763.4203089,1094.462328,1062.046098,443.6092267,1500.157785,3315.640584,859.1853904,240.8966346,3048.805787,6913.977554,5071.635271,3172.326586,3418.821923,452.9312984,126.9770522,2677.54765,1080.59409,3736.048106,300.7300817,3444.755425,2008.379593,265.1036603,3820.723959,2322.03203,2847.046127,885.3527421,3315.023642,5551.490548,3441.951396,5428.713357
121.1321759,711.9814644,233.6043431,487.0323165,531.2793376,172.0547837,1172.393883,291.7568675,776.8516798,70.38928817,346.5438346,576.7961917,480.3479898,147.1474901,122.9980756,223.0949491,470.1608873,327.8406846,247.6470816,1771.53727,179.7341036,397.7213925,264.4225847,583.4715653,373.2457075,743.8853288,518.7841376,830.9565587,412.6586083,497.8804586,314.325999,143.680639,502.1776794,193.2147466,2950.158001,3796.520531,212.0038977,244.1389882,792.5405603,464.0372129,291.5828649,288.9755449,2118.85186,4945.721813,1547.218818,657.4724025,74.12215747,317.98153,1818.021408,770.6132335,1241.757731,6080.908195,259.9624328,26.32581519,524.4615837,842.143619,1149.752494,2352.494529,746.7852669,731.1829783,1070.814437,1041.206828,474.3385077,1414.608025,3317.23964,868.2367043,219.7580418,2818.100383,6735.225335,4629.344353,3158.530569,3569.877022,450.0083836,116.7929135,2990.21524,1071.414237,3609.275303,303.3790259,3228.688256,2120.696106,292.9452903,3660.95471,2484.476358,3069.051539,842.2515101,3199.660692,5745.206376,3850.452717,5328.027886
