Country,Nitrogen,Panimal,Pvegetal,NMid,NMin,NMax,Energy,PLR,ConstructionLabor,OMLabor,Tax,Coal,Oil,Gas,Hydro,Bio,Geo,Wind,Solar,Nuclear
Myanmar,82.61,33.72,48.89,0.03,0.01,0.07,0.02,0.287283,131.79,89.71,0.25,0.242174,0.007987,0.173801,0.571678,0.000642,0,0,0.003717,0
Venezuela,73.01,38.12,34.89,0.06,0.04,0.2,0.028,0.886867,693.66,910,0.34,0.194276,0.000812,0.185884,0.618094,0,0,0.000867,0.0000674,0
Egypt,103.24,26.34,76.9,0.09,0.02,0.12,0.03,0.205735,242.15,182.05,0.23,0.391092,0.016149,0.503131,0.072709,0.001673,0,0.014094,0.001152,0
Azerbaijan,93.15,30.08,63.07,0.17,0.04,0.25,0.04,0.262108,509.42,201.41,0.2,0.311725,0.0000612,0.602939,0.075302,0.007404,0,0.000958,0.001611,0
Kazakhstan,96.41,57.06,39.35,0.09,0.02,0.12,0.04,0.33528,523.75,274.3,0.2,0.162157,0.575334,0.143841,0.113738,0.000492,0,0.003474,0.000963,0
Ukraine,88.62,43.15,45.47,0.17,0.04,0.25,0.05,0.335224,185.16,158.07,0.18,0.06729,0.152033,0.154685,0.06079,0.001442,0,0.006748,0.00508,0.551932
Saudi Arabia,91.63,39.93,51.7,0.09,0.02,0.12,0.05,0.421248,1170.24,2248.56,0.2,0.63199,0.000256,0.367265,0,0,0,0.0000153,0.000474,0
Ghana,64.57,17.21,47.36,0.02,0.001,0.05,0.05,0.464788,321.82,194.57,0.25,0.462687,0.002969,0.119809,0.41106,0.001405,0,0,0.00207,0
Trinidad and Tobago,83.36,43.12,40.24,0.12,0.03,0.16,0.05,0.522644,773.61,1252.83,0.25,0.132592,0.000141,0.866881,0,0,0,0,0.000386,0
Ethiopia,60.4,7.69,52.71,0.02,0.001,0.05,0.053,0.382603,74.74,70.64,0.3,0.000273,0.0000184,0,0.933477,0.002038,0.00000728,0.062586,0.001601,0
