Myanmar,Venezuela,Egypt,Azerbaijan,Kazakhstan,Ukraine,Saudi Arabia,Ghana,Trinidad and Tobago,Ethiopia,Paraguay,Georgia,Malaysia,Bangladesh,Pakistan,Vietnam,Macedonia,Serbia,Armenia,United Arab Emirates,Sri Lanka,Mexico,Cameroon,Argentina,Belarus,Jordan,Botswana,Turkey,Angola,Bosnia and Herzegovina,Albania,Indonesia,Dominican Republic,Tanzania,Korea,Canada,Ivory Coast,South Africa,Hungary,Bulgaria,Thailand,Namibia,Hong Kong,Norway,Macau,Costa Rica,Kenya,Colombia,Malta,Lithuania,Croatia,Iceland,Honduras,Congo,Romania,Poland,Estonia,Israel,Panama,Chile,Latvia,Slovakia,Brazil,Slovenia,Finland,Greece,Philippines,France,Switzerland,Sweden,Luxembourg,New Zealand,Peru,Uganda,Austria,Czech Republic,United Kingdom,Guatemala,Netherlands,Spain,El Salvador,Ireland,Italy,Japan,Portugal,Belgium,Denmark,Germany,Bermuda
0.019034816,0.02763885,0.028845205,0.037502772,0.040497099,0.047588449,0.050050915,0.049444278,0.048476072,0.054705101,0.059041873,0.057740272,0.059340684,0.062636452,0.055772803,0.066736063,0.078948752,0.086928553,0.082665772,0.07834318,0.080560582,0.077883255,0.076409266,0.07939469,0.088150347,0.084219129,0.090779189,0.08929803,0.085437127,0.103655656,0.100185615,0.108155405,0.105794953,0.098089337,0.103001132,0.107553282,0.126435081,0.125878509,0.131131547,0.137374073,0.141759147,0.127463473,0.136671453,0.142830709,0.158432033,0.161059007,0.15600633,0.144067288,0.151531376,0.16497636,0.161014648,0.158970568,0.166031203,0.161898342,0.156620191,0.163343023,0.155900744,0.173911324,0.175692512,0.1820882,0.181623821,0.18559757,0.177854946,0.186799923,0.190985542,0.202747775,0.182483204,0.17484222,0.19215174,0.207466703,0.208336379,0.208986019,0.21825586,0.205365823,0.21430466,0.214352494,0.236739973,0.249110473,0.2363714,0.251429408,0.243790914,0.253103563,0.2543318,0.264871144,0.272829935,0.33270909,0.349030683,0.340898026,0.398856481
0.018869948,0.027184271,0.0292634,0.039239528,0.037700624,0.053139503,0.047394444,0.050078342,0.050851714,0.053641416,0.05923014,0.059432032,0.060734151,0.058717505,0.061430274,0.072084291,0.081261723,0.083951779,0.080120076,0.085849798,0.082870629,0.077905057,0.082594731,0.082893254,0.089176965,0.087293356,0.093214608,0.089602829,0.089933156,0.104537218,0.09976795,0.100046982,0.098984609,0.092132332,0.107386434,0.107051114,0.116109516,0.1214913,0.132438911,0.128085681,0.13488646,0.128022255,0.137979713,0.130916159,0.14112554,0.153999517,0.15534734,0.159249742,0.155074008,0.150176864,0.155347526,0.152185308,0.165068808,0.168677839,0.170165216,0.170858923,0.17239402,0.166932243,0.167159433,0.164957073,0.182919747,0.178020711,0.182021676,0.177473702,0.20637044,0.191123765,0.201233323,0.197060715,0.201883669,0.196844475,0.20493243,0.213469937,0.204807687,0.202952845,0.22757808,0.231268904,0.23831089,0.257725212,0.242818179,0.266035202,0.271391857,0.262740554,0.264232639,0.295885765,0.291283918,0.299682694,0.354797882,0.370430465,0.397449641
0.01873127,0.027446924,0.028708998,0.040555981,0.037569955,0.050655739,0.04998751,0.049192622,0.047299212,0.053552078,0.06140031,0.062047028,0.063637344,0.061762982,0.063414336,0.069581161,0.08211838,0.078301397,0.084890928,0.086064351,0.078239817,0.077681478,0.079175155,0.081555876,0.093174168,0.086355013,0.0906572,0.090156913,0.08421285,0.102234291,0.104064781,0.106469127,0.098756074,0.096733015,0.107542871,0.116330869,0.118732479,0.120029066,0.130760674,0.135986647,0.136186344,0.132568408,0.138418351,0.13263865,0.150637603,0.149323254,0.15567062,0.15574106,0.149289147,0.171841734,0.169252313,0.159559996,0.164092712,0.163913254,0.179111253,0.173799313,0.171914773,0.173657424,0.171053022,0.166158008,0.186490509,0.178976977,0.163572965,0.206640161,0.188487266,0.181048941,0.198881705,0.191920862,0.199992629,0.204135933,0.210621492,0.218713349,0.214076934,0.206771168,0.216959059,0.222205169,0.237661922,0.265659993,0.240931726,0.248838792,0.233358972,0.250819347,0.27311228,0.292011154,0.289921177,0.32397959,0.343414566,0.336817556,0.376056048
0.01877536,0.029525549,0.028398133,0.0400414,0.04121013,0.04674429,0.050030017,0.05241215,0.049168126,0.048129125,0.05713519,0.060398528,0.059670131,0.058561515,0.056293915,0.070596684,0.077670935,0.079273242,0.079917547,0.078007324,0.085155468,0.08662616,0.073969254,0.080824906,0.092729024,0.096216245,0.092976801,0.093494961,0.094049798,0.090711015,0.099049146,0.106239729,0.097334475,0.106116686,0.10320579,0.11653333,0.115162737,0.113388069,0.135004469,0.138972269,0.12910434,0.132121986,0.148819785,0.144115771,0.145585263,0.149657975,0.159358106,0.15644129,0.156251115,0.168051545,0.158726968,0.160637327,0.161061799,0.165991316,0.156492038,0.161960481,0.158945437,0.176007631,0.16630824,0.160875168,0.1886943,0.180220255,0.163824137,0.190831718,0.187358907,0.1790453,0.184365903,0.193024175,0.19641526,0.208288048,0.215861283,0.202714101,0.213642104,0.210714961,0.217844186,0.245210996,0.23642648,0.242408945,0.247426864,0.255149402,0.246056433,0.259615407,0.25412449,0.283364289,0.292030436,0.323730259,0.345580058,0.359180367,0.390214916
0.02077782,0.028265088,0.030246625,0.039697282,0.04142496,0.051885548,0.04772719,0.054526987,0.052050589,0.052645428,0.062216977,0.05740489,0.058546789,0.058843572,0.05784896,0.066544149,0.081988605,0.082880816,0.082857739,0.086214388,0.07966527,0.084564668,0.073442194,0.074327078,0.095610155,0.088066078,0.090737104,0.088986847,0.088218796,0.096467388,0.096655622,0.098280428,0.096343862,0.10843987,0.107833581,0.102891827,0.119308684,0.120279305,0.123383649,0.119890364,0.128718133,0.139615315,0.147322583,0.142432208,0.136028835,0.15499761,0.157054017,0.149268027,0.1566771,0.145081776,0.157526582,0.16678118,0.154086713,0.171160149,0.17663448,0.159518834,0.18394062,0.17154108,0.164561597,0.165508015,0.167431798,0.174144107,0.184027387,0.193057511,0.184272434,0.19332071,0.174792895,0.183455244,0.185842862,0.210254888,0.199330764,0.208148257,0.211660262,0.219549309,0.235482637,0.228380977,0.243696973,0.267011248,0.24652693,0.2552908,0.244442096,0.250716609,0.247947266,0.299044037,0.300617577,0.327708471,0.357915409,0.353965273,0.396398036
0.020844976,0.027606459,0.030624604,0.039070754,0.038878432,0.051076094,0.047364574,0.051088723,0.048287814,0.052833488,0.056210654,0.063171874,0.059252234,0.061143536,0.064053202,0.070985187,0.074541686,0.078359705,0.077911598,0.074856426,0.082483293,0.077833856,0.080978774,0.082649604,0.092452452,0.091698327,0.097489469,0.090149017,0.082889073,0.099798033,0.106994245,0.09304053,0.09773185,0.101634423,0.111324066,0.105321436,0.123698424,0.117764458,0.123858409,0.128955856,0.128425683,0.13194908,0.146139157,0.131318729,0.151611672,0.160223785,0.147271953,0.157278755,0.146238483,0.15808875,0.164388507,0.158867296,0.15918518,0.147393027,0.167492673,0.170594385,0.170198818,0.176683895,0.1707503,0.160093395,0.194704212,0.173533987,0.175414856,0.172953813,0.177522558,0.198254672,0.189004146,0.193529865,0.202823759,0.183017248,0.207805113,0.218764118,0.22327078,0.227163262,0.224516582,0.221251267,0.252658027,0.256090214,0.233687832,0.254948627,0.24538516,0.275524183,0.259066848,0.264073278,0.294927281,0.308264352,0.349364346,0.352995384,0.415142729
0.021271595,0.028123989,0.031461972,0.038677487,0.039619774,0.052550477,0.050042533,0.05125031,0.048626636,0.047985209,0.054487175,0.060828571,0.060220137,0.059299623,0.062713041,0.07035623,0.086423096,0.076477658,0.073284143,0.081275597,0.084932868,0.077710277,0.083697352,0.077891701,0.085952607,0.08693732,0.084381044,0.090494777,0.096468358,0.105892859,0.106933754,0.102800128,0.101766797,0.103307648,0.109082748,0.102760635,0.121713528,0.116200682,0.132981761,0.138787025,0.129495629,0.125264353,0.136601423,0.135211011,0.145022252,0.144765052,0.15309628,0.149841847,0.153096927,0.154434535,0.159331383,0.15582047,0.156153088,0.166009245,0.166905684,0.168247251,0.160852187,0.171149695,0.169036562,0.175546907,0.168796053,0.187189623,0.170648671,0.197402691,0.193922119,0.187814767,0.184423519,0.186830828,0.1939971,0.206971893,0.198592077,0.221897426,0.221568904,0.223011078,0.217782753,0.234459474,0.251686908,0.238326622,0.243235427,0.254721897,0.267579147,0.247365881,0.243789304,0.280716366,0.299167404,0.325806416,0.347144107,0.322659187,0.373306597
0.020993166,0.029472532,0.030935379,0.041436117,0.043055131,0.049038718,0.050537053,0.04953685,0.05019325,0.052438247,0.057816961,0.056443961,0.063113797,0.064786803,0.05802713,0.067667728,0.077111483,0.080560276,0.080563904,0.080584342,0.083210797,0.082851907,0.083443218,0.08655856,0.091915394,0.09122862,0.092389139,0.087937285,0.096075765,0.096270928,0.095484708,0.10578052,0.101160429,0.096999528,0.113503425,0.115137893,0.10984006,0.114361083,0.119584402,0.128013942,0.123458034,0.132228576,0.136327212,0.13049655,0.151703392,0.14943227,0.152213489,0.151239564,0.145050577,0.174248791,0.160668642,0.166353203,0.168114325,0.170328746,0.157287477,0.174805729,0.172687189,0.171817953,0.169844996,0.167003146,0.175706352,0.165810169,0.181793275,0.205106618,0.181677097,0.175726145,0.187921913,0.200858592,0.196324342,0.206545203,0.211676535,0.20875071,0.216327895,0.204262889,0.227767875,0.225541189,0.254501412,0.250847725,0.227722965,0.2377986,0.256335964,0.270367132,0.257510951,0.273394506,0.289746901,0.341930557,0.339364442,0.360531829,0.415042304
0.019854165,0.028432989,0.027407471,0.041933882,0.040374666,0.050863362,0.04937574,0.049476531,0.05354524,0.054266052,0.058824722,0.058195611,0.060617719,0.056211538,0.057078791,0.075145358,0.077518471,0.0805121,0.081676704,0.08012415,0.076584604,0.077099001,0.086048888,0.087507839,0.08992602,0.084878187,0.088323727,0.09435083,0.098856897,0.093386964,0.100665552,0.106667831,0.102116435,0.099383583,0.108429688,0.117850007,0.117387015,0.121154359,0.137520127,0.129423271,0.131785252,0.127631463,0.133379722,0.147289594,0.158218932,0.157908627,0.141426857,0.144607427,0.149655315,0.158372696,0.169440763,0.163342457,0.155473376,0.172138502,0.163213423,0.184554514,0.175463254,0.184134027,0.167861476,0.18054845,0.166560678,0.181664576,0.174203437,0.187777314,0.19250604,0.173136958,0.18712466,0.186623144,0.191479863,0.210827555,0.214487077,0.225950941,0.223514789,0.211056253,0.217088235,0.221043593,0.231351664,0.25556772,0.245396227,0.263700622,0.244023796,0.253523559,0.274301632,0.275545618,0.275027281,0.312932247,0.345997945,0.343072924,0.401218734
0.01853084,0.029070728,0.028489908,0.040143179,0.039014255,0.047175764,0.046721578,0.05178848,0.045924012,0.050235651,0.051872986,0.056050455,0.060205937,0.059483253,0.060249034,0.076062347,0.075392004,0.082274615,0.081121087,0.078434907,0.08108343,0.08330821,0.085158784,0.076264963,0.086936577,0.09075567,0.090893421,0.088565362,0.090807993,0.093749651,0.098757042,0.105615127,0.108596163,0.105239871,0.108408663,0.110728051,0.117828644,0.123813898,0.13231808,0.135498999,0.12838103,0.132428832,0.1402737,0.13515342,0.158605483,0.149604964,0.147472202,0.154461367,0.14780099,0.154051385,0.161964852,0.168814391,0.165136493,0.163160013,0.176357962,0.174730296,0.165892442,0.182967045,0.162632561,0.168379313,0.171810171,0.174763794,0.187850163,0.188238459,0.195322172,0.192298155,0.1808034,0.180782491,0.204471704,0.203960238,0.22184193,0.202115709,0.211567908,0.195101277,0.216069359,0.241672325,0.248724477,0.261429274,0.248462934,0.230036351,0.256524558,0.274296863,0.263822809,0.30367012,0.27297839,0.322220937,0.338815575,0.357457681,0.377076997
