Daily_Flushes,Flush_Volume,Membrane_Flux,Velocity_Crossflow,Pressure_Membrane,Fill_Fraction_GAC_Column,UF_GAC_N_P_Removal,Clinoptilolite_Cost,Polonite_Cost,Clinoptilolite_Capacity,Polonite_Capacity,N_Content_Protein,N_P_Excretion,N_Urine,P_Content_A_Protein,P_Content_V_Protein,P_Urine,Seperation_Efficiency,Density_GAC,Lifetime_GAC,Power_Required_Treatment_EC,Current_EC,Power_Stirrer,Flowrate_Discharge,Pump_UF_Lifetime,Membrane_UF_Lifetime,Switch_Lifetime,Valve_UF_Lifetime,Electrode_EC_Lifetime,Stirrer_Lifetime,U_Pump_Misc_Lifetime,Discount_Rate,U_Pump_UF,U_Valve_UF,U_Tank_UF,U_Switch,UF_Material_Costs,GAC_Material_Costs,U_Stirrer_EC,U_Electrode_EC,EC_Material_Costs,US_Initial_Unit_Cost_Controls,InCountry_Initial_Unit_Cost_Controls,Controls_Material_Costs,U_Pump_Misc,Misc_Material_Costs,U_Media_GAC,Monthly_Work_Days,Construction_Time,Maintenance_Frequency,Maintenance_Time
4.186186882,9.24077922,160.4993208,4.816522285,2.540514198,0.821824486,0.430893698,1.063488611,1.317925294,9.366523044,10.55280992,0.140630217,0.997456399,0.904219864,0.014132832,0.005788959,0.619396304,0.880139631,422.1894944,8179.695425,6.195331545,6.436013712,21.66502472,11.95624177,10.92868109,2.835011176,10.29429014,6.497439645,1.874432403,2.711413881,9.953753649,0.033556094,184.9214018,102.3167176,557.9355806,110.1351227,1466.386813,817.2743577,159.3272195,95.3951157,738.5527903,575.9425002,1007.967353,1583.909853,168.5603169,2101.608768,2.597477807,21.66031683,2.51723992,1.200591207,0.979517623
3.361113091,7.372999395,132.3840244,4.804828466,0.206401758,0.831128596,0.35676387,1.050624593,1.365746332,10.09437498,10.22821119,0.171461695,0.995419848,0.872813129,0.02071588,0.012555174,0.661262636,0.800332042,405.8312055,9382.918063,5.850329598,5.548587253,29.2352157,11.76014199,11.65796904,2.921137517,9.637537563,4.003395955,2.104628543,5.990355618,10.44021928,0.035426618,192.1826933,101.5511519,577.5958592,115.4451479,1430.096363,847.7252737,162.1582203,96.51273303,747.8507464,571.4168038,977.1360273,1548.552831,171.1338625,2260.482684,4.282794792,23.52359367,2.004260953,1.389980431,0.489781865
5.834078077,7.297233799,138.6672663,5.494726846,3.113314272,0.797257995,0.349776049,1.077431685,1.386236882,10.04263778,9.209166082,0.153633623,0.992692793,0.856052752,0.018320687,0.006328826,0.614579358,0.815788612,434.5202844,9519.230648,6.116699012,4.16640843,20.35528665,12.80634308,8.644759169,3.089915941,8.357655011,4.954536547,2.039760081,3.003577412,9.161885393,0.042726471,185.1338602,95.68110404,535.2311825,115.9777286,1563.97714,843.3495655,140.2678559,98.21749926,710.6960866,569.8918696,903.036452,1472.928322,167.3994852,2356.144861,2.63843454,21.98365762,2.887685343,1.60963829,0.961400988
2.023477203,9.19926917,156.829881,4.51980443,0.289731401,0.778401296,0.348873161,1.064139274,1.45345281,9.995112943,9.991320727,0.163302729,0.99915347,0.844807325,0.028361723,0.009265294,0.663168486,0.813672544,497.9697957,5115.78987,5.768028611,4.102704321,25.34765433,13.74059361,11.01465932,2.961956357,8.694929864,5.078735598,2.079828312,4.762027189,9.899037458,0.041215755,180.4499492,104.4247694,566.9083762,112.5422634,1431.713079,878.6574912,154.2971571,103.1251403,710.7566549,585.7099649,936.7243228,1522.434288,175.4460722,2354.487301,1.333187411,20.70118259,2.300369303,1.172626849,0.423257251
4.786317373,9.11444946,130.1510123,4.577441467,2.646930873,0.786375239,0.354875292,1.048587576,1.381040604,10.25822398,10.00203587,0.151368572,0.997924511,0.895785704,0.005021118,0.007368959,0.624036102,0.826624303,464.5392675,9370.326829,5.772791686,4.790654582,24.07570624,14.14404262,11.02198954,3.118814097,9.118995632,4.295640665,2.024969239,6.242212885,9.801643412,0.053252834,194.7340907,103.658154,572.4181498,105.3808003,1478.979235,851.5251689,143.2206007,97.67405674,704.2358362,591.3751945,1041.720423,1633.095617,173.3586322,2237.077098,3.161685888,22.4079228,2.707875117,1.094378602,0.34933534
1.052874011,7.997838814,144.6232062,5.285615739,0.908418422,0.759289672,0.431804451,1.122969796,1.330271488,9.345489981,9.599434913,0.158355338,0.99907513,0.872111271,0.021412721,0.009012053,0.673255879,0.846105068,401.7850592,11727.60159,5.925154684,6.277397556,21.03839509,13.09873449,7.912948453,3.024322614,8.188519536,3.646545671,2.122734323,3.579018149,9.736604948,0.051646412,168.2893122,98.83700658,592.9777953,120.0112275,1502.336916,821.894094,155.5740798,101.586329,747.2835303,595.3649016,925.4226006,1520.787502,173.0693516,2193.066952,1.630451043,20.42362885,2.756011864,1.262579656,0.946922953
3.536339173,9.365577948,159.5787035,4.878032943,1.295714576,0.79275329,0.389065842,1.019378969,1.431420181,10.01470234,9.939025028,0.185646648,0.991773553,0.789584251,0.025320703,0.008733093,0.696289035,0.80755396,451.3423052,7314.405289,5.604555975,6.481596597,22.564683,15.91862163,11.00347054,2.983169239,9.990817853,6.227422674,1.955400743,6.065485726,9.620385676,0.030893416,180.24441,101.6269272,555.5848296,109.446481,1433.412259,875.175838,142.2653172,100.3970914,711.2975352,534.7166038,1042.106935,1576.823539,176.9066537,2205.987407,3.973021061,22.56129557,3.714763317,1.907679829,0.46406077
4.701469135,9.441397823,129.9642038,5.019761536,2.099400326,0.754054153,0.330179271,1.172753738,1.451172167,9.815908369,10.69502549,0.149431133,0.998318013,0.801155547,0.0251467,0.017603899,0.660169349,0.875645204,472.0776225,8024.089573,6.361579504,6.093511875,18.02132242,11.59517059,9.073609219,3.019695773,11.57335218,4.93154415,2.111995981,4.499401291,9.962872951,0.054479964,160.5813725,109.2500995,567.0045612,109.9583664,1450.962405,829.8389448,153.535137,93.68791437,741.8662895,567.8818521,1038.542423,1606.424276,168.6911515,2190.882614,3.062182356,21.88824266,2.184859063,1.354777834,0.337911758
5.799176217,6.895358577,147.4363964,4.818029289,1.363760878,0.780284427,0.468050178,1.166364349,1.328657917,9.717967943,9.029376184,0.138978273,0.99744784,0.862797761,0.018159135,0.020220206,0.675256228,0.838926231,475.2618309,7637.441623,5.70525143,4.114106552,22.19981085,14.21842804,10.6881093,2.899872765,10.40860299,5.575933396,1.950063891,6.226810908,10.45288727,0.056554324,185.3500182,95.4862244,568.9019609,112.9326013,1532.237494,829.5145886,152.8163314,103.5056764,733.2465446,628.0394472,973.9260557,1601.965503,179.3041169,2159.674591,2.301380955,24.14404837,3.479392667,1.975769239,0.790031894
5.201288097,9.651904072,167.8884919,3.633979826,1.240515728,0.812019096,0.465068349,1.057756861,1.273364698,10.37274118,9.070151278,0.168453116,0.994436911,0.857833627,0.041020273,0.008199327,0.678520162,0.836455751,419.8755522,10569.79859,5.905305386,4.246461263,27.16050563,10.91439567,10.83277599,2.746647232,11.03694811,6.780610735,1.902708184,5.184308086,9.907163405,0.03021646,154.4696621,106.5133492,522.4892343,113.1299171,1426.965014,801.2201098,140.4450423,96.52375928,724.6891533,525.8697293,1002.624116,1528.493846,169.1480777,2313.694607,2.795139951,22.97587372,2.404257723,1.3390794,0.397594055
4.552479243,7.887523218,142.4315535,5.30986384,2.921588052,0.832715847,0.425484839,1.145827624,1.496078079,9.937426253,10.64659975,0.159864007,0.993806841,0.842128846,0.028073669,0.014428469,0.65996626,0.889977408,450.209641,11245.88641,5.630355199,5.13945998,19.02503774,12.36336573,10.04413612,3.047452006,11.78988808,6.621223947,1.978303109,3.920653738,10.82992188,0.035358989,193.8432979,93.05323951,564.0726647,106.4317684,1428.646483,857.8522029,144.760737,97.9199891,724.0154339,590.2154895,1007.326992,1597.542481,180.0145304,2152.217743,1.428868825,20.92806912,2.412747263,1.084695211,0.939824354
2.903086104,9.207328662,132.418131,4.668068903,2.337154781,0.815192359,0.455217053,1.101984163,1.377481116,9.889019165,9.779405158,0.179883893,0.992042372,0.813565094,0.033912387,0.014545327,0.684933882,0.873663942,450.836181,10232.1024,6.34036096,6.129813247,27.44479999,14.29276411,10.8029538,2.919074577,10.16705204,5.316741211,1.919404,4.514740076,9.917673266,0.031983789,173.032206,105.482415,549.4040597,102.7978555,1478.413954,796.9572621,151.357075,96.17961869,724.1016022,582.8855028,1044.879234,1627.764737,167.6280346,2284.678833,1.756904179,21.37214799,2.543533528,1.668363707,0.63571068
1.667706806,9.795739259,140.2555419,5.106129491,3.307035569,0.825081243,0.327498696,1.091084643,1.483178596,9.293658013,9.90393836,0.180685241,0.991818559,0.880144549,0.039330761,0.007566735,0.698768377,0.886535899,424.4490002,12995.64847,6.334396579,6.26332108,26.40246177,13.39777852,10.23589207,3.273164935,8.53124349,4.702094394,1.929467912,5.877870887,9.643935719,0.05241283,191.7247147,99.84618246,550.8964854,106.6135944,1431.773585,854.2130456,150.8197929,104.8600501,703.9987698,613.2720786,1055.390401,1668.66248,165.481152,2101.872602,2.242064306,23.174482,3.461007378,1.893565269,0.322402593
6.392034922,7.829594181,146.6732882,4.160119766,0.844390249,0.812628534,0.435637966,1.052054636,1.382309928,10.50898183,10.02049069,0.157480666,0.992738917,0.911597532,0.02743301,0.008085217,0.655644623,0.838721658,471.2531983,10430.96088,6.008974425,5.9635218,18.86184733,12.85501741,10.44273139,3.222780694,9.711431496,4.43242045,1.967349508,3.667162582,10.77212188,0.056749005,164.6926466,100.5483209,568.2325832,111.6175518,1544.119499,853.8523844,146.1046575,98.90107992,715.4561166,555.1882553,950.2926025,1505.480858,177.9091154,2302.192578,2.877653719,24.44052619,3.289760269,1.937852267,0.829871065
2.582886486,6.676951952,127.6704846,4.505294545,0.987461323,0.824455664,0.498113873,1.037296653,1.377124403,10.03735361,9.94597918,0.140230984,0.991788201,0.836857468,0.031867452,0.014921842,0.659405532,0.831095874,433.3858896,7964.680963,5.745527949,6.103085371,28.78982907,9.839082813,8.449160198,3.005832203,8.992125479,5.623776311,1.98401187,2.87927685,9.945814777,0.059118354,196.4774409,98.40859833,545.2754653,109.9788828,1474.865253,840.096579,155.234533,93.57855183,729.1259809,552.8386212,989.1141538,1541.952775,170.3757008,2096.017415,1.861764938,23.99753363,3.678539866,1.331404637,0.61915031
1.497187039,8.73803417,152.4236229,5.280256396,1.813153833,0.813555207,0.390984373,1.036434402,1.310668721,9.150437437,10.36831438,0.153396847,0.990635646,0.91955953,0.013824661,0.004240036,0.679821758,0.80253596,491.4703634,9584.3125,6.27869616,4.562369368,22.20606805,9.617565371,9.672209502,3.045887154,10.73105694,5.137204532,2.147468542,5.300198175,9.791304054,0.058745852,151.5993747,92.56168219,553.8077738,111.9397925,1481.587405,883.3154917,145.9397613,100.7198479,725.7703861,530.6213961,1009.714085,1540.335482,180.8690791,2218.759018,2.751845273,20.45127289,3.913504829,1.323528678,0.41989889
4.532319366,6.203075648,141.5746589,3.978946742,1.540788623,0.76197682,0.309143592,1.023071602,1.352828942,9.74042781,9.433568412,0.130200778,0.999746334,0.851707417,0.024966344,0.004107778,0.665871402,0.808354468,417.2159575,12171.43824,6.355912947,4.138841534,20.24322232,9.235051915,9.437253701,2.957213967,11.31291013,4.166681639,1.973160324,6.479947173,10.48413308,0.031103823,173.6901504,96.28418319,519.2342845,109.8867068,1415.469879,840.4980164,156.9444183,97.63389202,689.2640858,582.4224519,1000.302623,1582.725074,180.4850696,2309.952055,2.983864342,23.21689634,3.03121042,1.565723755,0.630058203
4.803329249,9.550291039,156.4918194,3.702064495,1.442541018,0.806028826,0.32918043,1.148605829,1.386913831,10.67941579,9.505752268,0.167563203,0.993423751,0.831765928,0.020903958,0.011563455,0.70609356,0.84693901,404.2203241,5296.426654,6.231075707,6.613548145,18.25113744,14.87852322,10.24566225,2.92142506,9.82927049,5.4358716,2.054688092,6.098502121,9.774902953,0.051661738,159.1843353,96.17746231,551.0503638,113.1106312,1410.673867,810.9547485,152.7400153,102.7499303,675.8618094,578.8219889,926.4981714,1505.32016,164.9961454,2249.877038,4.023652093,24.66093447,3.151288039,1.4119873,0.440790064
1.469658987,8.204951046,126.2220715,5.114006681,0.099378552,0.840265757,0.485144965,1.119935452,1.347069487,9.955407229,9.934510993,0.16107041,0.993031351,0.909964771,0.024803546,0.021126162,0.70830765,0.840768559,425.4778514,10796.35215,5.838756384,4.349515083,26.16309983,15.23090178,10.48741548,3.012756196,9.216095403,5.979109826,1.934589496,5.43262848,10.19833378,0.055648272,175.0189719,97.74748705,543.2627471,113.7455457,1475.881382,873.8599681,159.0102632,99.792997,711.0633492,606.9503347,972.1432157,1579.09355,183.1854256,2170.785442,4.292424473,23.54687653,2.904362769,1.022167048,0.999340685
2.07985032,8.671347341,136.1952534,4.770980954,0.74928048,0.753862069,0.332382965,1.009291115,1.361165005,9.327989745,10.37277367,0.134083664,0.996838469,0.903862168,0.017133375,0.017424602,0.723367021,0.876405752,444.3740853,8898.993579,5.618194868,4.428260207,23.89658089,13.33738218,10.58561062,3.122055023,10.11566268,2.814979204,1.914791828,4.978769777,10.22881635,0.033635175,169.8614022,92.01661275,504.9883909,113.6128068,1445.088082,828.6396288,156.4436983,102.8708491,706.9982444,565.4511929,930.7581804,1496.209373,181.430032,2187.032735,1.831645628,23.92652012,3.08342396,1.689334327,0.383134543
