Country,Min,Max
Albania,613.67,708.67
Angola,533.18,1086.56
Argentina,622.56,1083.61
Armenia,371.1,500.12
Austria,1739.55,3401.51
Bangladesh,312.86,396.07
Belarus,715.56,1336.63
Belgium,2359.33,3369.76
Belize,679.07,1000.29
Bermuda,2705.95,2926.82
Bolivia,638.43,908.91
Bosnia and Herzegovina,826.6,1045.83
Brazil,477.96,803.15
Brunei Darussalam,929.96,1299.5
Bulgaria,753.33,1127.81
Cambodia,369.86,542.77
Cameroon,247.42,331.42
Canada,2081.53,3638.46
Cape Verde,357.98,516.12
Chile,724.86,1084.17
Comoros,469.19,1388.45
"Congo, Democratic Republic of the",131.39,176.16
Costa Rica,761.48,1045.73
Cyprus,1591.85,2195.05
Czech Republic,1306.77,1905.92
Denmark,3167.01,4129.53
Dominican Republic,371.99,611.32
Egypt,1178.24,1241.24
El Salvador,378.44,550.21
Estonia,1222.27,1990.93
Eswatini,434.89,596.66
Ethiopia,101.87,189.95
Fiji,518.24,692.53
Finland,2107.29,2957.46
France,2189.3,2659.85
Gambia,173.63,996.7
Germany,2281.07,3615.38
Ghana,423.46,894.64
Greece,1018.74,1281.5
Guatemala,364.48,578.98
Honduras,380.7,607.36
"Hong Kong, China",1209.93,2592.71
Hungary,909.1,1619.89
Iceland,3282.33,4642.44
Indonesia,277.7,329.27
Ireland,3175.67,4284.28
Israel,1090.65,2300.53
Italy,2322.74,2736.45
Jordan,1069.23,1125.35
Kazakhstan,587.84,1426.43
Kenya,143.58,235.73
"Korea, Republic of",2133.48,3513.49
Kyrgyzstan,566.96,903.22
Lao People's Democratic Republic,805.76,1587.04
Latvia,988.83,1461.13
Liberia,7279.07,16348.6
Luxembourg,2759.75,3544.7
"Macau, China",1193.56,2672.14
Madagascar,0.1,0.23
Malawi,126.76,264.36
Malaysia,881.51,1187.51
Maldives,661.72,997.08
Mali,117.31,183.18
Malta,1928.85,2553.04
Mauritius,645.43,792.76
Mexico,363.56,603.14
Mongolia,1.05,1.31
Montenegro,1218.95,1741.36
Myanmar,423.62,550.02
Namibia,388.1,777.54
Nepal,230.31,270.02
Netherlands,2158.76,3328.4
Nicaragua,537.42,794.04
Nigeria,532.97,569.66
North Macedonia,1034.91,1173.78
Norway,3236.29,3791.08
Occupied Palestinian Territory,945.75,1523.08
Pakistan,328.86,461.82
Palau,602.33,748.62
Panama,638.9,1145.64
Paraguay,495.5,753.66
Peru,1008.56,1089.65
Philippines,558.01,638.94
Poland,1455.95,1917.24
Portugal,844.77,1174.14
Qatar,2395.64,2903.34
Romania,785.45,1168.66
Russian Federation,674.47,1392.55
Rwanda,120.23,339.58
Samoa,454.22,775.06
Serbia,560.02,772.63
Slovakia,1159.85,1903.87
Slovenia,1723.71,2203.55
South Africa,426.54,597.16
Spain,1643.43,2618.16
Sri Lanka,374.38,502.81
Sweden,2728.39,3573.57
Switzerland,1921.88,4542.62
Tajikistan,231.43,524.07
"Tanzania, United Republic of",209.98,414.43
Thailand,644.84,875.34
Timor-Leste,750.15,805.96
Togo,340.85,470.56
Trinidad and Tobago,1112.47,1574.18
Turkey,1271.16,1565.41
Uganda,151.1,292.48
Ukraine,376.85,708.83
United Arab Emirates,870.32,1158.7
United Kingdom,1684.55,3303.55
Uruguay,746.87,1300.82
Viet Nam,460.16,645.33
Yemen,618.22,748.87
Zimbabwe,252.17,474.05
