Country,Nitrogen,Mid,Min,Max
Afghanistan,58.25,0.03,0.01,0.07
Albania,111.42,0.17,0.04,0.25
Algeria,91.96,0.09,0.02,0.12
Angola,57.26,0.02,0.001,0.05
Antigua and Barbuda,83.71,0.12,0.03,0.16
Argentina,102.64,0.06,0.02,0.1
Armenia,90.04,0.17,0.04,0.25
Australia,106.28,0.22,0.04,0.33
Austria,106.21,0.17,0.04,0.25
Azerbaijan,93.15,0.17,0.04,0.25
Bahamas,86.62,0.12,0.03,0.16
Bangladesh,55.84,0.03,0.01,0.07
Barbados,88.24,0.12,0.03,0.16
Belarus,93.82,0.17,0.04,0.25
Belgium,99.59,0.17,0.04,0.25
Belize,73.27,0.06,0.02,0.1
Benin,64.43,0.02,0.001,0.05
Bermuda,90.79,0.12,0.03,0.16
Bolivia (Plurinational State of),66.01,0.06,0.02,0.1
Bosnia and Herzegovina,91.64,0.17,0.04,0.25
Botswana,64.86,0.02,0.001,0.05
Brazil,94.99,0.06,0.02,0.1
Brunei Darussalam,93.41,0.12,0.03,0.16
Bulgaria,83.53,0.17,0.04,0.25
Burkina Faso,79.38,0.02,0.001,0.05
Cabo Verde,73.65,0.12,0.03,0.16
Cambodia,65.66,0.03,0.01,0.07
Cameroon,69.96,0.02,0.001,0.05
Canada,104.95,0.22,0.04,0.33
Central African Republic,46.06,0.02,0.001,0.05
Chad,62.72,0.02,0.001,0.05
Chile,87.36,0.06,0.02,0.1
"China, Hong Kong SAR",129.18,0.15,0.04,0.2
"China, Macao SAR",94.84,0.15,0.04,0.2
"China, mainland",98.02,0.15,0.04,0.2
"China, Taiwan Province of",89.74,0.15,0.04,0.2
Colombia,64.38,0.06,0.02,0.1
Congo,51.66,0.02,0.001,0.05
Costa Rica,75.07,0.06,0.02,0.1
Côte d'Ivoire,58.51,0.12,0.03,0.16
Croatia,84.35,0.17,0.04,0.25
Cuba,90.86,0.06,0.02,0.1
Cyprus,77.61,0.17,0.04,0.25
Czechia,87.47,0.17,0.04,0.25
Democratic People's Republic of Korea,55,0.15,0.04,0.2
Denmark,108.88,0.17,0.04,0.25
Djibouti,65.86,0.12,0.03,0.16
Dominica,76.25,0.12,0.03,0.16
Dominican Republic,58.2,0.06,0.02,0.1
Ecuador,61.36,0.06,0.02,0.1
Egypt,103.24,0.09,0.02,0.12
El Salvador,71.9,0.06,0.02,0.1
Estonia,103.9,0.17,0.04,0.25
Ethiopia,60.4,0.02,0.001,0.05
Fiji,73.6,0.12,0.03,0.16
Finland,117.72,0.17,0.04,0.25
France,110.52,0.17,0.04,0.25
French Polynesia,96.85,0.12,0.03,0.16
Gabon,86.63,0.02,0.001,0.05
Gambia,61.55,0.02,0.001,0.05
Georgia,80.53,0.17,0.04,0.25
Germany,101.59,0.17,0.04,0.25
Ghana,64.57,0.02,0.001,0.05
Greece,108.8,0.17,0.04,0.25
Grenada,69.19,0.12,0.03,0.16
Guatemala,63.73,0.06,0.02,0.1
Guinea,55.93,0.02,0.001,0.05
Guinea-Bissau,44.04,0.02,0.001,0.05
Guyana,79.51,0.06,0.02,0.1
Haiti,47.72,0.06,0.02,0.1
Honduras,64.88,0.06,0.02,0.1
Hungary,78.85,0.17,0.04,0.25
Iceland,133.54,0.17,0.04,0.25
India,60.25,0.03,0.01,0.07
Indonesia,62.18,0.03,0.01,0.07
Iran (Islamic Republic of),87.28,0.03,0.01,0.07
Iraq,63.63,0.09,0.02,0.12
Ireland,110.02,0.17,0.04,0.25
Israel,128.14,0.09,0.02,0.12
Italy,108.51,0.17,0.04,0.25
Jamaica,76.97,0.06,0.02,0.1
Japan,87.73,0.15,0.04,0.2
Jordan,79.59,0.09,0.02,0.12
Kazakhstan,96.41,0.09,0.02,0.12
Kenya,61.84,0.02,0.001,0.05
Kiribati,73.33,0.12,0.03,0.16
Kuwait,108.24,0.09,0.02,0.12
Kyrgyzstan,85.16,0.09,0.02,0.12
Lao People's Democratic Republic,68.9,0.12,0.03,0.16
Latvia,91.39,0.17,0.04,0.25
Lebanon,79.71,0.09,0.02,0.12
Lesotho,73.52,0.02,0.001,0.05
Liberia,37.66,0.02,0.001,0.05
Lithuania,124.49,0.17,0.04,0.25
Luxembourg,113.88,0.17,0.04,0.25
Madagascar,46.67,0.12,0.03,0.16
