Country,Panimal,Pvegetal,Mid,Min,Max
Afghanistan,12.22,46.03,0.03,0.01,0.07
Albania,59.42,52,0.17,0.04,0.25
Algeria,24.99,66.97,0.09,0.02,0.12
Angola,18.4,38.86,0.02,0.001,0.05
Antigua and Barbuda,56.83,26.88,0.12,0.03,0.16
Argentina,66.95,35.69,0.06,0.02,0.1
Armenia,43.25,46.79,0.17,0.04,0.25
Australia,71.67,34.61,0.22,0.04,0.33
Austria,62.86,43.35,0.17,0.04,0.25
Azerbaijan,30.08,63.07,0.17,0.04,0.25
Bahamas,56.43,30.19,0.12,0.03,0.16
Bangladesh,9.92,45.92,0.03,0.01,0.07
Barbados,50.52,37.72,0.12,0.03,0.16
Belarus,54.96,38.86,0.17,0.04,0.25
Belgium,58.11,41.48,0.17,0.04,0.25
Belize,28.96,44.31,0.06,0.02,0.1
Benin,14.25,50.18,0.02,0.001,0.05
Bermuda,60.27,30.52,0.12,0.03,0.16
Bolivia (Plurinational State of),29.76,36.25,0.06,0.02,0.1
Bosnia and Herzegovina,30.43,61.21,0.17,0.04,0.25
Botswana,26.41,38.45,0.02,0.001,0.05
Brazil,52.59,42.4,0.06,0.02,0.1
Brunei Darussalam,52.95,40.46,0.12,0.03,0.16
Bulgaria,41.31,42.22,0.17,0.04,0.25
Burkina Faso,11.07,68.31,0.02,0.001,0.05
Cabo Verde,27.93,45.72,0.12,0.03,0.16
Cambodia,19.11,46.55,0.03,0.01,0.07
Cameroon,11.69,58.27,0.02,0.001,0.05
Canada,54.7,50.25,0.22,0.04,0.33
Central African Republic,17.12,28.94,0.02,0.001,0.05
Chad,9.7,53.02,0.02,0.001,0.05
Chile,45.27,42.09,0.06,0.02,0.1
"China, Hong Kong SAR",94.41,34.77,0.15,0.04,0.2
"China, Macao SAR",61.11,33.73,0.15,0.04,0.2
"China, mainland",39.28,58.74,0.15,0.04,0.2
"China, Taiwan Province of",43.49,46.25,0.15,0.04,0.2
Colombia,33.48,30.9,0.06,0.02,0.1
Congo,22.24,29.42,0.02,0.001,0.05
Costa Rica,40.99,34.08,0.06,0.02,0.1
Côte d'Ivoire,13.67,44.84,0.12,0.03,0.16
Croatia,47.98,36.37,0.17,0.04,0.25
Cuba,31.77,59.09,0.06,0.02,0.1
Cyprus,45.05,32.56,0.17,0.04,0.25
Czechia,50.48,36.99,0.17,0.04,0.25
Democratic People's Republic of Korea,10.06,44.94,0.15,0.04,0.2
Denmark,69.81,39.07,0.17,0.04,0.25
Djibouti,15.1,50.76,0.12,0.03,0.16
Dominica,39.19,37.06,0.12,0.03,0.16
Dominican Republic,26.4,31.8,0.06,0.02,0.1
Ecuador,36.53,24.83,0.06,0.02,0.1
Egypt,26.34,76.9,0.09,0.02,0.12
El Salvador,25.25,46.65,0.06,0.02,0.1
Estonia,53.24,50.66,0.17,0.04,0.25
Ethiopia,7.69,52.71,0.02,0.001,0.05
Fiji,31.37,42.23,0.12,0.03,0.16
Finland,73.03,44.69,0.17,0.04,0.25
France,69.34,41.18,0.17,0.04,0.25
French Polynesia,63.81,33.04,0.12,0.03,0.16
Gabon,43.03,43.6,0.02,0.001,0.05
Gambia,14.11,47.44,0.02,0.001,0.05
Georgia,28.81,51.72,0.17,0.04,0.25
Germany,61.48,40.11,0.17,0.04,0.25
Ghana,17.21,47.36,0.02,0.001,0.05
Greece,59.24,49.56,0.17,0.04,0.25
Grenada,41.59,27.6,0.12,0.03,0.16
Guatemala,17.83,45.9,0.06,0.02,0.1
Guinea,9.94,45.99,0.02,0.001,0.05
Guinea-Bissau,8.89,35.15,0.02,0.001,0.05
Guyana,36.08,43.43,0.06,0.02,0.1
Haiti,10.14,37.58,0.06,0.02,0.1
Honduras,23.2,41.68,0.06,0.02,0.1
Hungary,42.11,36.74,0.17,0.04,0.25
Iceland,96.48,37.06,0.17,0.04,0.25
India,11.99,48.26,0.03,0.01,0.07
Indonesia,17.7,44.48,0.03,0.01,0.07
Iran (Islamic Republic of),22.22,65.06,0.03,0.01,0.07
Iraq,13.18,50.45,0.09,0.02,0.12
Ireland,64.83,45.19,0.17,0.04,0.25
Israel,72.46,55.68,0.09,0.02,0.12
Italy,58.25,50.26,0.17,0.04,0.25
Jamaica,37.11,39.86,0.06,0.02,0.1
Japan,48.46,39.27,0.15,0.04,0.2
Jordan,27.18,52.41,0.09,0.02,0.12
Kazakhstan,57.06,39.35,0.09,0.02,0.12
Kenya,15.9,45.94,0.02,0.001,0.05
Kiribati,35.3,38.03,0.12,0.03,0.16
Kuwait,53.58,54.66,0.09,0.02,0.12
Kyrgyzstan,35.04,50.12,0.09,0.02,0.12
Lao People's Democratic Republic,14.59,54.31,0.12,0.03,0.16
Latvia,50.97,40.42,0.17,0.04,0.25
Lebanon,29.32,50.39,0.09,0.02,0.12
Lesotho,12.78,60.74,0.02,0.001,0.05
