Myanmar,Venezuela,Egypt,Azerbaijan,Kazakhstan,Ukraine,Saudi Arabia,Ghana,Trinidad and Tobago,Ethiopia,Paraguay,Georgia,Malaysia,Bangladesh,Pakistan,Vietnam,Macedonia,Serbia,Armenia,United Arab Emirates,Sri Lanka,Mexico,Cameroon,Argentina,Belarus,Jordan,Botswana,Turkey,Angola,Bosnia and Herzegovina,Albania,Indonesia,Dominican Republic,Tanzania,Korea,Canada,Ivory Coast,South Africa,Hungary,Bulgaria,Thailand,Namibia,Hong Kong,Norway,Macau,Costa Rica,Kenya,Colombia,Malta,Lithuania,Croatia,Iceland,Honduras,Congo,Romania,Poland,Estonia,Israel,Panama,Chile,Latvia,Slovakia,Brazil,Slovenia,Finland,Greece,Philippines,France,Switzerland,Sweden,Luxembourg,New Zealand,Peru,Uganda,Austria,Czech Republic,United Kingdom,Guatemala,Netherlands,Spain,El Salvador,Ireland,Italy,Japan,Portugal,Belgium,Denmark,Germany,Bermuda
0.269849114,0.935656136,0.197811809,0.259601093,0.343632374,0.334351436,0.413608435,0.45696901,0.517335867,0.358934957,0.446472558,0.366762556,0.361090944,0.409061571,0.277241129,0.343058792,0.354814573,0.43441688,0.417026139,0.611275515,0.324043237,0.486293493,0.383474404,0.547652264,0.295315347,0.459398063,0.429015024,0.349644426,0.523247792,0.426271509,0.380530387,0.305880212,0.424120562,0.342856642,0.771582623,1.014976569,0.418371842,0.436496714,0.51709564,0.425296059,0.366223097,0.524145628,0.771447729,1.341547392,0.67345659,0.701700772,0.466010342,0.421890281,0.683383301,0.538382521,0.543661578,1.21263524,0.510757912,0.597891015,0.447576056,0.481721655,0.663628004,1.008148149,0.60417977,0.656760065,0.627893843,0.611465382,0.545754787,0.693293786,1.114228139,0.702379167,0.363370031,0.924696874,1.180464769,1.030905537,0.987516903,1.010384511,0.490160163,0.306360827,0.901521746,0.58824749,0.936389621,0.549977105,0.925893389,0.784465424,0.495430296,1.007124944,0.860843062,0.939892768,0.709482506,0.918287718,1.090012342,0.900627467,1.636909185
0.280352737,0.905421997,0.216985518,0.264717423,0.339414634,0.331457602,0.426379231,0.43544418,0.527065538,0.356330665,0.435325159,0.384938634,0.358914181,0.407326865,0.26354166,0.3431228,0.382316643,0.440149809,0.376140305,0.57350437,0.294867951,0.496925158,0.403792476,0.603178977,0.322040286,0.429237953,0.47585629,0.319326596,0.569279364,0.38524501,0.426413191,0.296205212,0.415394988,0.303464334,0.782898513,0.953395031,0.382355727,0.452415091,0.502775618,0.412949449,0.404423996,0.508413011,0.729040044,1.270988551,0.674313947,0.659598898,0.486574444,0.470600091,0.698510295,0.550220885,0.524615542,1.344138649,0.480749519,0.605899575,0.459823481,0.46645847,0.663047306,1.124980029,0.600501925,0.600237445,0.56343925,0.605907896,0.520768854,0.679375344,1.076246742,0.681118338,0.341092601,0.910195778,1.241704727,1.009742173,1.031792125,1.035310224,0.46484227,0.303608839,0.94024708,0.566094217,0.942707217,0.529626189,0.980750083,0.799054109,0.498404602,0.958021084,0.824391006,0.882103096,0.696305385,0.958699632,1.114510568,0.937062091,1.657944996
0.287584166,0.924792572,0.219201589,0.274549265,0.33308624,0.317493781,0.442686458,0.462156253,0.556634098,0.364297276,0.420694442,0.378914704,0.355033406,0.380539094,0.280652713,0.345310212,0.387284424,0.389452999,0.407306275,0.562519101,0.278110382,0.477986757,0.410523915,0.552283859,0.309335704,0.459973688,0.429069447,0.315479886,0.526680972,0.389773689,0.414857012,0.295802134,0.437301903,0.31707756,0.808065967,1.02134347,0.427004974,0.462401335,0.538879544,0.405149648,0.382067579,0.52557926,0.771269879,1.223316357,0.680102027,0.710258824,0.533952024,0.435679243,0.721179964,0.571719974,0.571361353,1.21508439,0.485314513,0.622067418,0.443589082,0.487507162,0.638360446,1.021135278,0.61505452,0.678294523,0.544817329,0.594490165,0.571612056,0.710717004,1.073130069,0.738171057,0.355168821,0.987448982,1.323815,1.032695796,0.996379281,1.056600299,0.48782143,0.318990214,0.882536594,0.558486506,0.964064922,0.53224706,0.982113495,0.767533179,0.457316012,0.958607222,0.824701306,0.926363525,0.704515492,0.989440642,1.176688105,0.864515924,1.758343884
0.283525468,0.920129101,0.194220195,0.26389912,0.333541755,0.335174258,0.433478615,0.464183136,0.53263879,0.370750001,0.441543861,0.385971517,0.32553602,0.371041444,0.244160155,0.318011643,0.348428805,0.412606322,0.389605618,0.540471247,0.281667024,0.520748479,0.37843713,0.580307055,0.328365313,0.43468091,0.478091459,0.363629926,0.5254466,0.405044141,0.358635138,0.312125462,0.421739672,0.338321015,0.74980219,0.954662966,0.381668372,0.437336606,0.519392967,0.422595005,0.366128471,0.499664802,0.765638755,1.273229312,0.701658148,0.663336452,0.459343001,0.437150867,0.715321786,0.51558661,0.512865725,1.363966445,0.523573818,0.605093977,0.440756098,0.497776168,0.625984458,1.106457841,0.611415416,0.653436385,0.557389223,0.542940777,0.573706015,0.720296277,0.974047397,0.688298082,0.333946628,0.92359012,1.165343369,0.964359777,1.077731082,1.010596425,0.459581468,0.314810816,0.892296412,0.583967555,0.914715663,0.560636244,0.955611494,0.82531243,0.484493051,0.935401782,0.837987937,0.855987525,0.672395831,0.944110019,1.030403544,0.950444059,1.630678225
0.301686579,0.905336739,0.209818995,0.269207159,0.33796977,0.335198808,0.384702224,0.473868067,0.521048739,0.397646633,0.406117133,0.385953661,0.340133081,0.378123354,0.247940192,0.340459167,0.3671845,0.422835691,0.407423717,0.620344966,0.293868643,0.467819262,0.388115116,0.581850093,0.312584085,0.439638198,0.463444934,0.351191991,0.537467029,0.44259412,0.40603539,0.276939938,0.440222273,0.323454324,0.769598052,1.001486923,0.411214305,0.472802523,0.53364187,0.385064787,0.357678531,0.502582654,0.778892175,1.23943408,0.643192176,0.696048849,0.481000273,0.467554926,0.723745541,0.556852984,0.550953462,1.284070051,0.523922463,0.618640277,0.421790346,0.478101722,0.63741435,1.10781246,0.579984321,0.612692908,0.60715677,0.533098702,0.549151279,0.658456263,1.033293214,0.675212405,0.37628576,0.914847577,1.204693482,1.041565118,0.957536053,1.046121999,0.483999048,0.309836632,0.907616961,0.570823977,0.995554327,0.556448877,0.990086193,0.754449009,0.503238276,0.922384257,0.81066495,0.91905848,0.694229195,0.937753901,1.093454212,0.850035589,1.661624601
0.283909616,0.853314885,0.203628781,0.256867135,0.321667372,0.341186798,0.413265392,0.472878351,0.516323345,0.368504069,0.42486953,0.377263387,0.363141942,0.376097745,0.278402838,0.36639649,0.360793057,0.396959409,0.409602526,0.572008338,0.307160719,0.512010341,0.402385728,0.554991793,0.315857207,0.439671225,0.47551578,0.331451325,0.523550659,0.408352577,0.387463958,0.318135948,0.449464994,0.331110212,0.78240898,0.953045823,0.40485767,0.447326737,0.524142093,0.407010549,0.376521408,0.520047469,0.756350263,1.15461144,0.724452702,0.6849725,0.512654862,0.441767452,0.731211464,0.558990522,0.53069176,1.292201246,0.493434745,0.640062156,0.451024187,0.500414321,0.654716634,1.035315299,0.645898323,0.613835636,0.588818252,0.561223968,0.588869717,0.668069565,1.104159691,0.666604597,0.353816787,0.858414583,1.274086018,0.985756154,1.006442902,1.039186108,0.468837826,0.31032874,0.936454285,0.612522415,0.907500758,0.56451338,0.97282163,0.760461689,0.470822554,0.908664413,0.820175684,0.9450238,0.714715462,0.950161656,1.147276782,0.881657425,1.73683768
0.307902158,0.843081072,0.198204941,0.270355768,0.339056028,0.360980797,0.405950536,0.46004427,0.523933601,0.385701783,0.43416313,0.407186929,0.367011288,0.370015934,0.269988055,0.328721308,0.358569772,0.418865984,0.38017903,0.560223871,0.299529716,0.474961519,0.409186205,0.570293719,0.314829541,0.475406208,0.41603944,0.33953582,0.541475772,0.418225873,0.41812307,0.278470192,0.429988279,0.339230484,0.774601859,0.953938012,0.433513143,0.496923728,0.535090876,0.395166129,0.379182543,0.516044359,0.785437292,1.21145362,0.696855385,0.70803844,0.482763509,0.472524586,0.769876852,0.574564022,0.573756873,1.352637112,0.462130316,0.593826405,0.453719864,0.516731275,0.675209383,0.99097563,0.622183172,0.61179861,0.576536297,0.599362703,0.551422841,0.658102937,1.035604867,0.668531462,0.343156952,0.894093012,1.306962452,0.977589598,0.969761702,0.972632436,0.502563125,0.286748724,0.922473636,0.555818907,0.887922777,0.557983534,0.917973097,0.759307071,0.487339019,0.933438388,0.799254769,0.926992675,0.740390113,0.856629312,1.073347681,0.853561633,1.588272442
0.282903558,0.819070086,0.205204593,0.251200304,0.36636628,0.351815321,0.422095999,0.472587775,0.528525537,0.407205379,0.412505529,0.367337518,0.342254203,0.39596407,0.263262255,0.35442696,0.365405943,0.419944782,0.394883591,0.565305652,0.282498037,0.500111582,0.402122824,0.561695585,0.325736135,0.466769107,0.448349959,0.325195082,0.519115398,0.426844593,0.391157582,0.283204667,0.415072079,0.318530251,0.770695222,1.005163545,0.418412332,0.452614855,0.525412417,0.407512063,0.375647841,0.497797909,0.804596314,1.161209773,0.715691566,0.684272634,0.457733262,0.416384408,0.753909351,0.53146612,0.56621238,1.325560251,0.460134042,0.625306705,0.432855501,0.46239808,0.639456754,1.022342602,0.661852059,0.623274381,0.560198151,0.546789005,0.586781617,0.737960002,1.055157764,0.704493715,0.344266638,0.953576274,1.274709222,0.977822973,1.032654539,0.984654352,0.449960482,0.333620295,0.935148536,0.595618903,0.91423447,0.526431949,0.993181225,0.74723871,0.473052944,0.937450756,0.823553759,0.916903564,0.751219126,0.955657038,1.105225879,0.890659432,1.591624891
0.312787487,0.827821863,0.201401051,0.259157209,0.314764507,0.340360082,0.453650943,0.454286751,0.51695502,0.373524837,0.409870857,0.382873872,0.342078581,0.377015694,0.253307587,0.333845999,0.377625338,0.399434535,0.414270236,0.599689698,0.292959681,0.486115373,0.384423402,0.571362219,0.305483511,0.438083481,0.455368901,0.320394881,0.557449818,0.433354292,0.385151346,0.298778526,0.455035916,0.330622401,0.799610757,0.971455239,0.38719953,0.479770154,0.532917776,0.431640408,0.405872235,0.49347528,0.746006629,1.308940169,0.662659187,0.686838245,0.482074293,0.476342158,0.644586817,0.575427338,0.532935625,1.191429672,0.509671744,0.608327143,0.438119368,0.51518111,0.653226105,0.990421408,0.56042028,0.658117221,0.583456432,0.57382016,0.547216286,0.695051307,1.09664571,0.625514448,0.363893782,0.884611747,1.209267379,1.077397104,0.982378307,0.9758019,0.503907022,0.304619748,0.933436056,0.555545561,0.84992803,0.512217291,0.981066494,0.7377342,0.525082859,0.968148159,0.793483905,0.893228271,0.666756509,0.872695995,1.046490571,0.861228325,1.629864539
0.262489375,0.897002661,0.207908797,0.261176337,0.352960035,0.341866317,0.417585629,0.456631599,0.527694091,0.408264823,0.454211016,0.360862446,0.362168966,0.412941577,0.2830474,0.356852583,0.381178224,0.446776536,0.392702602,0.584689265,0.296606174,0.452097912,0.410710601,0.559689051,0.316156108,0.451480313,0.453522326,0.336418974,0.499996297,0.434578527,0.386255666,0.30008024,0.445753202,0.326143409,0.799389216,1.030861797,0.392039001,0.437699036,0.557900886,0.442923621,0.39432366,0.526008486,0.742019934,1.294538215,0.674247132,0.709457095,0.501234268,0.417126422,0.708061286,0.494771604,0.564821929,1.239863235,0.494813799,0.648111377,0.461716203,0.49759298,0.656342838,1.050820442,0.631054558,0.633699925,0.57994781,0.572771553,0.574360166,0.690891548,1.003191872,0.660543683,0.346200484,0.888493499,1.255536466,0.998382669,1.044807637,1.029417409,0.517530903,0.325836023,0.897913596,0.591396926,0.944520336,0.536661455,0.958399828,0.811415823,0.520984833,0.898703108,0.874846099,0.912269237,0.720316442,0.862741006,1.092754264,0.865070841,1.600873583
