Myanmar,Venezuela,Egypt,Azerbaijan,Kazakhstan,Ukraine,Saudi Arabia,Ghana,Trinidad and Tobago,Ethiopia,Paraguay,Georgia,Malaysia,Bangladesh,Pakistan,Vietnam,Macedonia,Serbia,Armenia,United Arab Emirates,Sri Lanka,Mexico,Cameroon,Argentina,Belarus,Jordan,Botswana,Turkey,Angola,Bosnia and Herzegovina,Albania,Indonesia,Dominican Republic,Tanzania,Korea,Canada,Ivory Coast,South Africa,Hungary,Bulgaria,Thailand,Namibia,Hong Kong,Norway,Macau,Costa Rica,Kenya,Colombia,Malta,Lithuania,Croatia,Iceland,Honduras,Congo,Romania,Poland,Estonia,Israel,Panama,Chile,Latvia,Slovakia,Brazil,Slovenia,Finland,Greece,Philippines,France,Switzerland,Sweden,Luxembourg,New Zealand,Peru,Uganda,Austria,Czech Republic,United Kingdom,Guatemala,Netherlands,Spain,El Salvador,Ireland,Italy,Japan,Portugal,Belgium,Denmark,Germany,Bermuda
0.176466737,0.212824389,0.192689936,0.203916812,0.213421849,0.215467162,0.232465443,0.213989099,0.223695486,0.213309654,0.233599158,0.225641884,0.231002007,0.224663617,0.210625918,0.241443945,0.254787572,0.264885982,0.258594637,0.278178853,0.243362029,0.257887716,0.244834292,0.269129291,0.264607514,0.266163729,0.267816589,0.286861153,0.256871103,0.28784733,0.293429779,0.279321533,0.283318362,0.266408346,0.324242607,0.339294604,0.300677814,0.319626138,0.332025187,0.331068058,0.326229688,0.310459592,0.370132468,0.421246054,0.38663863,0.367357154,0.342698606,0.325365184,0.375270384,0.384662405,0.365174466,0.463836538,0.359159238,0.349216484,0.361587259,0.372319546,0.370907894,0.429742762,0.387981688,0.397606804,0.395217122,0.395840114,0.38819172,0.412876367,0.448075417,0.440235169,0.369383452,0.420490704,0.46219189,0.49423552,0.493303143,0.465253614,0.426554813,0.39122404,0.4716845,0.43936037,0.497056829,0.462540266,0.512767488,0.502900875,0.454364555,0.527946336,0.514095138,0.527762859,0.517485673,0.617123031,0.677128505,0.614881606,0.73525216
0.16911684,0.199786021,0.180463153,0.182033793,0.194381617,0.19426984,0.204656561,0.189225192,0.210884534,0.183831913,0.201796189,0.196604766,0.204961491,0.18597918,0.188227622,0.208815469,0.214766543,0.220764813,0.218597549,0.253954915,0.201284812,0.218795333,0.209296724,0.243879917,0.224041026,0.229139181,0.234785682,0.23934313,0.218344218,0.237206641,0.251415565,0.217237,0.218740158,0.209862269,0.276388575,0.309903169,0.22477067,0.25051356,0.260749524,0.254813115,0.247672358,0.238611546,0.301786411,0.330364938,0.288476575,0.281013372,0.263515201,0.268238982,0.305873978,0.295121361,0.273265997,0.377897936,0.270232199,0.270433701,0.29137425,0.289852732,0.302070619,0.351419962,0.289556361,0.290683728,0.306417403,0.290221605,0.297212302,0.316575305,0.394906601,0.318278287,0.284369478,0.335894915,0.369014071,0.377456285,0.363217213,0.358449505,0.300154959,0.2805715,0.371739373,0.338776383,0.392978545,0.335007758,0.393612115,0.381591511,0.344991159,0.396166769,0.389495326,0.418128642,0.392016747,0.429312891,0.473892001,0.46642324,0.523501428
0.191675174,0.238372978,0.216370023,0.22150483,0.231339715,0.234948648,0.265723818,0.235645858,0.246031546,0.233947813,0.251881269,0.250030598,0.258491463,0.241827407,0.24155775,0.267607892,0.282445527,0.276181337,0.288729366,0.328915236,0.260892283,0.284959668,0.271098865,0.296655397,0.295233179,0.2929812,0.295665012,0.302146653,0.280166794,0.310013504,0.323786606,0.296935027,0.294291922,0.285299145,0.348338804,0.373310148,0.313815064,0.338718589,0.35490195,0.352728416,0.343543269,0.34157953,0.399548466,0.444174069,0.412287125,0.383782433,0.371150041,0.371411577,0.408189631,0.424447027,0.40979899,0.475484913,0.384036019,0.38362232,0.41720963,0.416230254,0.424069926,0.479918202,0.407158466,0.412507362,0.427423748,0.415532756,0.40406054,0.481700558,0.483803899,0.438509825,0.420182617,0.483394282,0.527404911,0.517835671,0.502761693,0.509267865,0.451004751,0.423297264,0.508849694,0.480389213,0.550009915,0.517207532,0.567877866,0.547432823,0.472030705,0.548175986,0.585523971,0.602367107,0.576419085,0.643504458,0.708493284,0.671254028,0.78958613
0.146485998,0.1819963,0.151498702,0.15948123,0.169818123,0.163198548,0.187521063,0.162867554,0.181799308,0.153271533,0.179005762,0.175445093,0.1764292,0.159514271,0.156530532,0.17835947,0.185028695,0.19198014,0.187618496,0.21551091,0.176222505,0.200594752,0.175292783,0.207387432,0.200384315,0.207650584,0.202445402,0.216243243,0.193038547,0.201065975,0.21619943,0.191852387,0.186503016,0.189550463,0.243857072,0.266278952,0.197443849,0.21640349,0.230492919,0.232071258,0.210153065,0.214555354,0.285163824,0.300334182,0.266830418,0.247862292,0.233453863,0.232117436,0.274217917,0.272861809,0.256365515,0.360386929,0.241671717,0.238791411,0.249288326,0.260609411,0.271171671,0.320514235,0.253743613,0.259431934,0.275998913,0.262957777,0.262377076,0.289152112,0.32343741,0.282916939,0.242778995,0.312833418,0.371406862,0.336752767,0.334671974,0.313442572,0.272303378,0.250763411,0.325752508,0.316134431,0.341447529,0.289629968,0.353333073,0.343477511,0.292762046,0.358392196,0.342550625,0.364289067,0.348999811,0.419177215,0.43277271,0.436586576,0.508482394
0.210872782,0.251566987,0.221323859,0.233289872,0.250728294,0.251276579,0.256664433,0.258698674,0.263837667,0.247861844,0.267034926,0.259103576,0.265256952,0.250831316,0.245509265,0.272107012,0.291989884,0.291124504,0.293949223,0.327952027,0.27478245,0.302173517,0.278542596,0.307023114,0.306553956,0.306247991,0.313391313,0.319699053,0.30254275,0.317985508,0.326468351,0.300754654,0.302627785,0.315986943,0.375952336,0.38301671,0.331562141,0.351883414,0.357924929,0.344731747,0.346462471,0.364647415,0.437430199,0.482632191,0.390266469,0.406116071,0.389138012,0.376888487,0.4257369,0.40358335,0.40445827,0.481463969,0.38469368,0.406952316,0.422879578,0.403896706,0.450558278,0.481961485,0.408528138,0.412808986,0.433047322,0.421709435,0.437958757,0.458022135,0.487942635,0.465869187,0.400756937,0.473809746,0.515089462,0.53202029,0.520629914,0.514499559,0.462187773,0.45438703,0.536858536,0.492563829,0.555974572,0.531217855,0.578189557,0.550027603,0.506444755,0.581033723,0.549106304,0.617419953,0.607090226,0.681535921,0.734969259,0.693597506,0.80236687
0.128167137,0.156220677,0.134494703,0.13545793,0.146520989,0.145724161,0.15600441,0.145158193,0.163743798,0.13550503,0.151509696,0.148792371,0.154879285,0.138249829,0.141818294,0.161099651,0.162321799,0.163866624,0.163184189,0.190725538,0.147553787,0.172702094,0.156623641,0.180465926,0.170518658,0.173222264,0.175462435,0.190677859,0.159765264,0.180368975,0.192986333,0.159249878,0.164718739,0.160922455,0.216312915,0.244146157,0.175379695,0.187533688,0.194349257,0.190347594,0.182336358,0.188802993,0.248302714,0.27824943,0.239211261,0.224163144,0.19849514,0.197183797,0.249657106,0.233817552,0.224940085,0.29828941,0.203786071,0.199198201,0.223876697,0.231174405,0.241552402,0.306965683,0.227142568,0.228354571,0.246064655,0.225441281,0.231528261,0.253908452,0.300443301,0.256962015,0.20595987,0.275807488,0.335076804,0.295048758,0.300250125,0.302144492,0.241691535,0.223534386,0.304458357,0.266478178,0.336423828,0.257736023,0.31551214,0.304007348,0.249192837,0.339701546,0.311235317,0.310200502,0.311256454,0.342284989,0.403193326,0.370754676,0.448684473
0.198443616,0.222335698,0.208463433,0.217199366,0.220764389,0.228160951,0.250245766,0.222894392,0.243095059,0.213265057,0.229634079,0.236038836,0.242975399,0.221485065,0.223099428,0.245593503,0.257681568,0.256635966,0.246447259,0.290643415,0.245523131,0.260694753,0.252046003,0.270246074,0.266106383,0.268306653,0.266620105,0.278730559,0.268181261,0.283253535,0.294045969,0.264586736,0.269716867,0.263429354,0.326204273,0.325975859,0.281843058,0.297149449,0.309115162,0.312439947,0.29141259,0.292369378,0.362263052,0.374001367,0.351669517,0.332425897,0.317625127,0.317115303,0.367345819,0.355758682,0.345051862,0.431954303,0.324749876,0.328693396,0.354427712,0.357362311,0.353730098,0.414940097,0.350655286,0.363725582,0.364182386,0.361140969,0.353584595,0.387209115,0.434710913,0.392058289,0.339869528,0.411931896,0.442958181,0.451643287,0.423516951,0.430550272,0.389623644,0.369058988,0.448641594,0.415242431,0.46109025,0.399465735,0.47154133,0.455714035,0.429612034,0.472177969,0.46343096,0.4896977,0.489750981,0.54553023,0.583593507,0.526331815,0.619832364
0.229721442,0.277341316,0.248160954,0.260574985,0.271149009,0.268653756,0.293459527,0.26853481,0.280200347,0.264346773,0.279549009,0.273169584,0.292094884,0.279893235,0.266129127,0.295422659,0.305658498,0.318736504,0.315376823,0.340793447,0.297634681,0.326373843,0.30958157,0.346771325,0.324068579,0.337162327,0.330854197,0.339124031,0.326221052,0.335535483,0.341803522,0.327381119,0.332248568,0.317080638,0.403237094,0.406847114,0.337307445,0.368310504,0.363752729,0.375087721,0.360407629,0.369579841,0.435106472,0.45167014,0.440667778,0.419595328,0.397863813,0.394916094,0.432815764,0.461666449,0.42849804,0.541131957,0.423615284,0.425171325,0.420644601,0.446024311,0.464042864,0.507767821,0.441048606,0.447689672,0.448772091,0.426752321,0.460313595,0.502860566,0.516106953,0.459566727,0.43734304,0.535614233,0.585706483,0.567312215,0.552525064,0.52457982,0.487285261,0.451316626,0.559564961,0.511362048,0.591389767,0.525298453,0.57100085,0.555984976,0.534731683,0.644855016,0.595633773,0.608116261,0.608469841,0.694149355,0.746441017,0.725234228,0.868335328
0.203054849,0.238910633,0.212093003,0.222866092,0.231648854,0.244914014,0.266150557,0.242218348,0.266489848,0.239505055,0.256411993,0.250686709,0.254433196,0.23917238,0.236031069,0.275512414,0.279937802,0.28009182,0.28514389,0.316994943,0.265740931,0.28700449,0.284875634,0.306613655,0.290618666,0.293901298,0.294934125,0.310829474,0.307406168,0.299938891,0.319242316,0.304041595,0.303476654,0.294922243,0.367960569,0.387362235,0.316152728,0.346007193,0.363163266,0.345111531,0.343098105,0.339161318,0.394374205,0.452709677,0.414378428,0.4004727,0.356782599,0.361077659,0.403798726,0.40194817,0.405607009,0.489548304,0.374607252,0.39720243,0.394482035,0.429535647,0.426901301,0.502800264,0.403452656,0.430675538,0.407627844,0.420022125,0.420146716,0.447469668,0.502527677,0.42983468,0.408058195,0.471035596,0.508640589,0.526945444,0.52418578,0.523050854,0.467924774,0.430399203,0.512742188,0.472616879,0.531558044,0.503283673,0.555223407,0.553040378,0.491582432,0.551703648,0.569735127,0.566638993,0.552723312,0.630232001,0.697377088,0.665928589,0.811250456
0.18232086,0.219400754,0.198773117,0.212782902,0.220760291,0.22228254,0.235861736,0.22296949,0.230027753,0.213936212,0.22870968,0.226915457,0.238859255,0.221988321,0.225525115,0.255467495,0.25487715,0.261485567,0.260716092,0.28511164,0.246628229,0.271197471,0.25915598,0.270530284,0.264648081,0.28451273,0.273749828,0.281367978,0.266583254,0.282277277,0.294488357,0.277978329,0.287053678,0.275872008,0.345775375,0.355184238,0.291347077,0.315858406,0.329588426,0.325376184,0.307376951,0.314120837,0.374497416,0.403388716,0.394261412,0.354363284,0.332241926,0.336675093,0.365975607,0.376615178,0.367641048,0.450409816,0.353398886,0.353387858,0.383343239,0.383630538,0.384032935,0.450485386,0.370874094,0.381360092,0.382966199,0.381062638,0.402910706,0.413163572,0.448304975,0.409712858,0.366880421,0.419599984,0.462204791,0.487206955,0.481388731,0.44726098,0.413541835,0.375441436,0.477668583,0.464383427,0.531447681,0.467862293,0.504256025,0.475386876,0.464915513,0.563334942,0.519878132,0.552596138,0.511228774,0.593007603,0.624960738,0.627628411,0.718737267
