Myanmar,Venezuela,Egypt,Azerbaijan,Kazakhstan,Ukraine,Saudi Arabia,Ghana,Trinidad and Tobago,Ethiopia,Paraguay,Georgia,Malaysia,Bangladesh,Pakistan,Vietnam,Macedonia,Serbia,Armenia,United Arab Emirates,Sri Lanka,Mexico,Cameroon,Argentina,Belarus,Jordan,Botswana,Turkey,Angola,Bosnia and Herzegovina,Albania,Indonesia,Dominican Republic,Tanzania,Korea,Canada,Ivory Coast,South Africa,Hungary,Bulgaria,Thailand,Namibia,Hong Kong,Norway,Macau,Costa Rica,Kenya,Colombia,Malta,Lithuania,Croatia,Iceland,Honduras,Congo,Romania,Poland,Estonia,Israel,Panama,Chile,Latvia,Slovakia,Brazil,Slovenia,Finland,Greece,Philippines,France,Switzerland,Sweden,Luxembourg,New Zealand,Peru,Uganda,Austria,Czech Republic,United Kingdom,Guatemala,Netherlands,Spain,El Salvador,Ireland,Italy,Japan,Portugal,Belgium,Denmark,Germany,Bermuda
0.018938646,0.060295979,0.090211912,0.123620843,0.089197199,0.156741572,0.099391855,0.03562725,0.115639566,0.004838638,0.114933404,0.166792737,0.053402756,0.017975938,0.053194623,0.045355948,0.151368359,0.192332896,0.162611307,0.090390518,0.03216449,0.134658562,0.015531479,0.118003347,0.143611085,0.103432175,0.030347309,0.053702632,0.046307305,0.187881518,0.136114101,0.060225204,0.068278227,0.032054262,0.120005205,0.224569703,0.126451152,0.028772857,0.129162216,0.136555272,0.04023279,0.017602482,0.151642664,0.13696188,0.140786089,0.145126075,0.018002496,0.155712878,0.101008898,0.185385835,0.238371913,0.211165059,0.085480979,0.035663882,0.158540625,0.164822618,0.160155586,0.081711015,0.102195951,0.175207794,0.178372335,0.109740766,0.062275206,0.131179356,0.188274706,0.104600388,0.045638359,0.12164652,0.159024074,0.176564344,0.182615527,0.265713696,0.119663725,0.037836818,0.124513322,0.150366251,0.128447526,0.105405135,0.074280024,0.157504978,0.0781497,0.098124215,0.160996867,0.124828734,0.201941507,0.171822643,0.154218687,0.156187811,0.113822173
0.058558445,0.066309193,0.079547275,0.12182055,0.068760303,0.191779457,0.080150724,0.022413342,0.107067231,0.022351328,0.125177225,0.179069582,0.015901571,0.033096988,0.023617978,0.044612885,0.118872374,0.073189193,0.137456772,0.103985514,0.061910665,0.12101717,0.022549891,0.070522341,0.201991845,0.085064571,0.036523708,0.075256825,0.028828363,0.110650915,0.103065452,0.014233173,0.087617537,0.024376029,0.148751749,0.175620546,0.074809809,0.034635141,0.123171656,0.052611001,0.028194775,0.036068267,0.098039159,0.147765622,0.066283942,0.076388364,0.013518361,0.060766121,0.143077279,0.164317649,0.177613599,0.177197357,0.057228102,0.010620327,0.19382294,0.193327739,0.167538977,0.07582854,0.111852122,0.094824164,0.06915446,0.086457745,0.123915715,0.090770955,0.174913855,0.149018053,0.055266001,0.22879407,0.195815326,0.109150293,0.172536263,0.214304928,0.056802949,0.027619497,0.189153114,0.152638701,0.129686514,0.058770393,0.187080175,0.144056077,0.1309001,0.136791418,0.146061197,0.173877299,0.146543453,0.182030873,0.155353263,0.17674874,0.075976147
0.033215018,0.081640708,0.057122221,0.222731689,0.062111025,0.165038495,0.0775549,0.030003334,0.097540189,0.005738045,0.103472301,0.181993178,0.02570674,0.043996787,0.037974755,0.034515185,0.11178698,0.154521008,0.175463011,0.035838472,0.033086581,0.055678676,0.03139333,0.091598236,0.158379641,0.062333402,0.023554349,0.108010045,0.027235535,0.184893767,0.146410916,0.045121754,0.100108813,0.033317398,0.129136767,0.183699458,0.134149579,0.032350151,0.154997984,0.112254454,0.031512578,0.016028432,0.13624347,0.058655912,0.165342417,0.065119135,0.022481738,0.119771791,0.145951279,0.182529032,0.106390485,0.092495015,0.088311324,0.034149416,0.134463582,0.194547998,0.185110436,0.033862033,0.05745603,0.089451549,0.215801599,0.09884593,0.073918493,0.073971723,0.153073141,0.145695455,0.025140423,0.207692675,0.094147535,0.172020597,0.159822058,0.165246261,0.074414384,0.009863153,0.097085431,0.176498482,0.160211966,0.114481542,0.164514273,0.083747196,0.131767187,0.201902325,0.187541889,0.127967308,0.206530071,0.158381866,0.108647838,0.131323454,0.116841692
0.036226136,0.093614473,0.092690798,0.112636257,0.095494736,0.209832599,0.072960794,0.041880882,0.117055133,0.026301738,0.071508478,0.152914708,0.032616793,0.031354322,0.020336023,0.059467413,0.086287185,0.092084375,0.142915329,0.097538084,0.028071041,0.056578304,0.035510709,0.122367318,0.158999722,0.049470314,0.01291825,0.083511082,0.009208822,0.145892525,0.077203576,0.025826966,0.167050413,0.019557985,0.089810028,0.201316979,0.101505619,0.012224501,0.161490283,0.060850081,0.029188232,0.043403922,0.145189007,0.202210993,0.16360376,0.054592008,0.015420379,0.094793004,0.131431656,0.170648717,0.097464923,0.172921364,0.06809688,0.016863043,0.106736128,0.16341984,0.123755503,0.070602253,0.162150378,0.057351532,0.152324773,0.183954537,0.066458817,0.112731099,0.125614814,0.105092087,0.014182185,0.160498302,0.185716823,0.148828733,0.214189609,0.145157396,0.094618104,0.042949493,0.086294555,0.096926629,0.139064596,0.114371494,0.164590258,0.178406744,0.082049768,0.108262166,0.168487061,0.137517509,0.215721737,0.147947323,0.193142056,0.13948031,0.103593136
0.056528679,0.10070011,0.095877888,0.182976361,0.032243216,0.137955465,0.108766333,0.017176149,0.13833889,0.025145827,0.109569062,0.161393176,0.030313774,0.042922689,0.03082508,0.054984651,0.127530187,0.201182056,0.154026808,0.062630091,0.034248202,0.169374528,0.024596867,0.134933252,0.172965479,0.082790392,0.041835322,0.066250008,0.024637547,0.157353237,0.09399993,0.032908797,0.194598559,0.005924904,0.090692809,0.215135825,0.080304276,0.042282515,0.123439962,0.137668016,0.023806934,0.019558125,0.102802615,0.09030555,0.068054468,0.093669335,0.02016118,0.089072877,0.116464654,0.105366188,0.183317627,0.195903172,0.145887461,0.014675984,0.170240792,0.161975226,0.186445666,0.090359516,0.152767285,0.188150315,0.045549991,0.135348061,0.148058516,0.220261817,0.166329693,0.137125,0.047190775,0.196803855,0.121398316,0.081603254,0.121440053,0.140819257,0.088766443,0.017438352,0.162637731,0.162560184,0.194777554,0.146099685,0.156376795,0.202861883,0.052872166,0.186328997,0.181668756,0.108234444,0.155556961,0.156851479,0.148986643,0.212949683,0.063908147
0.027503875,0.107728786,0.063090379,0.134367879,0.09359119,0.148347221,0.058065279,0.007296609,0.06840582,0.025443121,0.112408866,0.216267727,0.029164974,0.044270431,0.03959399,0.041343504,0.087208461,0.14622233,0.15793881,0.085856101,0.056837023,0.049969402,0.010672372,0.176468171,0.157844736,0.093213279,0.027363705,0.106721001,0.028089445,0.14411401,0.134331095,0.024614873,0.105479828,0.008413126,0.151354175,0.190690749,0.073900618,0.045462433,0.141800901,0.134466838,0.022779952,0.009367816,0.184374343,0.189544439,0.092158984,0.084062496,0.016233383,0.1543549,0.07959039,0.156189173,0.138508824,0.176088114,0.071619527,0.007732691,0.112583822,0.103080508,0.147486987,0.060238763,0.090310637,0.059345509,0.180549609,0.054363414,0.081255498,0.129395627,0.185946563,0.099056805,0.055154944,0.142130431,0.161521972,0.162848975,0.115235875,0.241761625,0.085779923,0.036252412,0.194929968,0.121415542,0.223748337,0.138262805,0.072576529,0.11935821,0.125800625,0.162779666,0.185286347,0.079464854,0.162360823,0.135247534,0.2007367,0.221956221,0.089667314
0.035112545,0.050208376,0.092988414,0.06085312,0.106654445,0.154262196,0.095291407,0.024112191,0.041659009,0.022363768,0.152615066,0.151215451,0.037571152,0.058263803,0.027795862,0.038499988,0.122933087,0.143661331,0.18070157,0.041605364,0.034120824,0.095758291,0.021251049,0.104265843,0.107674641,0.099448409,0.022489282,0.068130471,0.017489149,0.196983119,0.170434583,0.02205473,0.047506671,0.006462996,0.112556321,0.246451662,0.121861091,0.036019609,0.193864776,0.114951874,0.064588276,0.004410608,0.062384651,0.20106352,0.165399403,0.135405501,0.017144239,0.109609416,0.155035875,0.136248862,0.167332908,0.175685881,0.080228848,0.024780656,0.053649096,0.14123467,0.126412679,0.030926222,0.052833931,0.06861174,0.112585062,0.170451841,0.066351773,0.144267264,0.147432406,0.071703743,0.032175782,0.19321976,0.142334754,0.129769345,0.231917026,0.289909181,0.145057075,0.017109546,0.059362802,0.170954312,0.209521257,0.10841794,0.061029771,0.143457269,0.087147161,0.168822924,0.130525065,0.179018086,0.186660286,0.190068198,0.178913071,0.162114705,0.118542101
0.023968738,0.101471942,0.110235546,0.059003174,0.069655873,0.161997933,0.095572661,0.019903058,0.134903208,0.003226028,0.142536181,0.187018255,0.051759382,0.048344399,0.054899819,0.060305444,0.104460819,0.060315371,0.123541795,0.079492469,0.050986028,0.072233461,0.016144244,0.066254333,0.195318252,0.089240163,0.036384544,0.043872731,0.023182332,0.208780571,0.126236654,0.031927445,0.075740655,0.031389847,0.062062854,0.270691192,0.102157156,0.012281338,0.241697196,0.113125938,0.032805524,0.034310696,0.130566503,0.242107172,0.157168009,0.130931253,0.024064294,0.184412552,0.106256152,0.150270669,0.160294033,0.148287795,0.044616847,0.040214932,0.153437225,0.156110545,0.152570246,0.057711559,0.17050717,0.101708518,0.173611477,0.22268198,0.051141111,0.162398987,0.113353125,0.176553169,0.034271771,0.159842187,0.204044709,0.098985335,0.104730261,0.189815096,0.073023779,0.006100657,0.103336478,0.172413465,0.11795767,0.098755365,0.161215469,0.204116417,0.128861646,0.124744742,0.150429556,0.09635744,0.234250105,0.181058685,0.213141711,0.138524195,0.10158877
0.047505974,0.161826955,0.11510042,0.22676813,0.081037721,0.078326595,0.084709284,0.018123202,0.081581278,0.014831959,0.091541035,0.138322987,0.029539859,0.048997805,0.029678668,0.014684451,0.076695799,0.13143324,0.177421366,0.102286112,0.040514416,0.148601298,0.006250439,0.144999466,0.215815872,0.0604564,0.008725158,0.059789245,0.013031775,0.15927985,0.117320238,0.028558322,0.083515578,0.02101859,0.102438787,0.192837697,0.130972424,0.016604282,0.110768727,0.126820297,0.043108095,0.020416278,0.109023634,0.133025007,0.151203448,0.097990544,0.041228084,0.11292142,0.099899031,0.143824584,0.151142219,0.160849396,0.065217488,0.026679435,0.190240995,0.102073947,0.222883276,0.089106936,0.10031121,0.072295666,0.155416634,0.192338808,0.052837913,0.070511864,0.137815205,0.081185832,0.035742152,0.113849902,0.182348193,0.14188669,0.116102891,0.162480884,0.071279477,0.022927591,0.18274564,0.185692045,0.08304803,0.080376827,0.177859772,0.199867747,0.06495246,0.153213308,0.207588798,0.169562682,0.240506902,0.096536395,0.064608618,0.207971268,0.055589178
0.03209293,0.114719324,0.089172259,0.108886324,0.09559952,0.113764701,0.087190722,0.021325532,0.143329756,0.00961706,0.120127944,0.225816677,0.064823142,0.0343853,0.033053868,0.026831289,0.122774009,0.181336655,0.187712155,0.092550432,0.040595327,0.099005352,0.022524554,0.129981257,0.210719785,0.055143895,0.011184763,0.087214533,0.034135735,0.12208189,0.104841453,0.011983745,0.122234677,0.005784851,0.096097746,0.232445521,0.143214016,0.021605471,0.147777674,0.216079964,0.055001793,0.028569198,0.152746061,0.162391208,0.105539192,0.074082047,0.003353182,0.100690387,0.145547372,0.135682279,0.206403321,0.148997964,0.134641432,0.02743603,0.177807739,0.189267568,0.123493082,0.057104495,0.11123807,0.072858503,0.196396223,0.109108955,0.051749026,0.198667076,0.190201704,0.144241563,0.016749554,0.16421686,0.111864982,0.16683573,0.212622851,0.217117239,0.102536361,0.023673612,0.070577375,0.211106361,0.103168875,0.115288905,0.191109942,0.196589051,0.117127364,0.121405284,0.100855884,0.104715289,0.173461893,0.12164372,0.137687307,0.198365326,0.149380798
